ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
601011;MAC Address;MAC-Adresse;MAC adresi;MAC Address;MAC Address;Dirección MAC;MAC Address;Indirizzo MAC;MAC-Adresse;MAC Address;MAC adresi;MAC-Adresse;MAC Address;MAC Address
601012;DHCP Server;DHCP Server;DHCP sunucusu;DHCP Server;DHCP Server;Servidor DHCP;DHCP Server;Server DHCP;DHCP Server;DHCP Server;DHCP sunucusu;DHCP Server;DHCP Server;DHCP Server
601013;WiFi;W-LAN;WiFi;WiFi;WiFi;WiFi;WiFi;WiFi;Heim WLAN;Main WiFi;WiFi;Heim WLAN;Main WiFi;WLAN
601014;Status;Status;Durum;Status;Status;Estado;Status;Stato;Status;Status;Durum;Status;Status;Status
601015;Name;Name;İsim;Name;SSID;SSID;Name;Nome rete;Name;Name;İsim;Name;Name;Name
601016;Guest WiFi;Gast W-LAN;Misafir WiFi;Guest WiFi;Guest WiFi;WiFi Invitado;Guest WiFi;WiFi Ospiti;Gast WLAN;Guest WiFi;Misafir WiFi;Gast WLAN;Guest WiFi;Guest WLAN
601017;System;System;Sistem;System;System;Sistema;System;Sistema;System;System;Sistem;System;System;System
601018;Serial Number;Seriennummer;Seri numara;Serial Number;Serial Number;Número de Serie;Serial Number;Numeri di serie;Seriennummer;Serial Number;Seri numara;Seriennummer;Serial Number;Serial Number
601019;Firmware version;Firmware-Version;Firmware versiyonu;Firmware version;Firmware version;Versión del firmware;Firmware version;Versione firmware;Firmware-Version;Firmware version;Firmware versiyonu;Firmware-Version;Firmware version;Firmware version
601020;Bootloader Version;Bootloader-Version;Boot Code versiyonu;Bootloader Version;Bootloader Version;Versión de Bootloader;Bootloader Version;Versione Bootloader;Bootloader-Version;Bootloader Version;Boot Code versiyonu;Bootloader-Version;Bootloader Version;Bootloader Version
601021;Hardware Type & Version;Hardware-Typ & Version;Hardware versiyonu;Hardware Type & Version;Hardware Type & Version;Versión de Hardware;Hardware Type & Version;Revisione hardware;Hardware-Typ & Version;Hardware Type & Version;Hardware versiyonu;Hardware-Typ & Version;Hardware Type & Version;Hardware Type & Version
601022;Uptime since last reboot;Zeit seit letztem Neustart;Son yeni başlatmadan beri geçen süre;Uptime since last reboot;Uptime since last reboot;Uptime desde el último reinicio;Uptime since last reboot;Acceso da;Zeit seit letztem Neustart;Uptime since last reboot;Son yeni başlatmadan beri geçen süre;Zeit seit letztem Neustart;Uptime since last reboot;Uptime since last reboot
601023;CPU Usage;CPU Auslastung;CPU kullanımı;CPU Usage;CPU Usage;Uso de CPU;CPU Usage;Utilizzo CPU;CPU Auslastung;CPU Usage;CPU kullanımı;CPU Auslastung;CPU Usage;CPU Usage
601024;Memory Usage;Speicher Auslastung;Bellek kullanımı;Memory Usage;Memory Usage;Uso de la memoria;Memory Usage;Utilizzo Memoria;Speicher Auslastung;Memory Usage;Bellek kullanımı;Speicher Auslastung;Memory Usage;Memory Usage
601025;days, 3 hours and 5 minutes;Tage, 3 Stunden und 5 Minuten;Gün, 3 saat ve 5 dakika;days, 3 hours and 5 minutes;days, 3 hours and 5 minutes;días, 3 horas y 5 minutos;days, 3 hours and 5 minutes;;Tage, 3 Stunden und 5 Minuten;days, 3 hours and 5 minutes;Gün, 3 saat ve 5 dakika;Tage, 3 Stunden und 5 Minuten;days, 3 hours and 5 minutes;days, 3 hours and 5 minutes
601026;IP Network;IP-Netzwerk;IP ağ;IP Network;IP Network;Red IP;IP Network;;IP-Netzwerk;IP Network;IP ağ;IP-Netzwerk;IP Network;IP Network
601027;DHCP Server;DHCP Server;DHCP sunucusu;DHCP Server;DHCP Server;Servidor DHCP;DHCP Server;Server DHCP;DHCP Server;DHCP Server;DHCP sunucusu;DHCP Server;DHCP Server;DHCP Server
601028;Security;Sicherheit;Güvenlik;Security;Security;Seguridad;Security;Sicurezza;Sicherheit;Security;Güvenlik;Sicherheit;Security;Security
601029;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway;;Gateway;Gateway;Gateway;Gateway;Gateway;Gateway
601030;Backup Status;Backup Status;Yedekleme durumu;Backup Status;Backup Status;Estado de backup;Backup Status;;Backup Status;Backup Status;Yedekleme durumu;Backup Status;Backup Status;Backup Status
601031;WiFi Name;W-LAN Name;WiFi adı;WiFi Name;WiFi Name;Nombre WiFi;WiFi Name;;WLAN Name;WiFi Name;WiFi adı;WLAN Name;WiFi Name;WiFi Name
601032;Data & Voice;Daten & Sprache;Veri & Konuşma;Data & Voice;Data & Voice;Datos y Voz;Data & Voice;;Daten & Sprache;Data & Voice;Veri & Konuşma;Daten & Sprache;Data & Voice;Data & Voice
601033;Data;Daten;Veri;Data;Data;Datos;Data;;Daten;Data;Veri;Daten;Data;Data
601034;Voice;Sprache;Konuşma;Voice;Voice;Voz;Voice;;Sprache;Voice;Konuşma;Sprache;Voice;Voice
601035;No Backup;Kein Backup;Yedekleme yok;No Backup;No Backup;No Backup;No Backup;;Kein Backup;No Backup;Yedekleme yok;Kein Backup;No Backup;No Backup
601036;On;an;Aç;On;On;Activado;On;;an;On;Aç;an;On;On
601037;Off;aus;Kapa;Off;Off;Desactivado;Off;;aus;Off;Kapa;aus;Off;Off
601038;NA;NA;NA;NA;Wireless Driver Version;Versión de driver WiFi;NA;;NA;NA;NA;NA;NA;Ping Gateway
601039;NA;NA;NA;NA;Date & Time;Fecha y Hora;NA;;NA;NA;NA;NA;NA;This test will execute a ping to the deafult gateway.
601040;NA;NA;NA;NA;LAN Port 1;Puerto LAN 1;NA;;NA;NA;NA;NA;NA;Test Call
601041;NA;NA;NA;NA;LAN Port 2;Puerto LAN 2;NA;;NA;NA;NA;NA;NA;A test call will be generated to check if voice connections are possible
601042;NA;NA;NA;NA;LAN Port 3;Puerto LAN 3;NA;;NA;NA;NA;NA;NA;DNS Server Query
601043;NA;NA;NA;NA;LAN Port 3;Puerto LAN 3;NA;;NA;NA;NA;NA;NA;The DNS query test will check if address resolution is working.
601044;NA;NA;NA;NA;LAN Port 4;Puerto LAN 4;NA;;NA;NA;NA;NA;NA;DNS Query
601045;NA;NA;NA;NA;Active;Activo;NA;;NA;NA;NA;NA;NA;Ping Gateway in Progress
601046;NA;NA;NA;NA;Inactive;Inactivo;NA;;NA;NA;NA;NA;NA;Ping Gateway Successful
601047;NA;NA;NA;NA;WAN IP Address;Dirección IP WAN;NA;;NA;NA;NA;NA;NA;Ping Gateway Failed
601048;NA;NA;NA;NA;Reboot Cause;Causa del reinicio;NA;;NA;NA;NA;NA;NA;The Ping Gateway failed to complete
601049;NA;NA;NA;NA;Web Upgrade;Actualización web;NA;;NA;NA;NA;NA;NA;Test Call in Progress
601050;NA;NA;NA;NA;Channel;Canal;NA;;NA;Channel;NA;NA;Channel;Channel
601051;NA;NA;NA;NA;Bandwidth;BW;NA;;NA;Bandwidth;NA;NA;Bandwidth;Bandwidth
601052;NA;NA;NA;NA;IPv6 Link Local Address;IPv6 Link Local Address;NA;NA;NA;NA;NA;NA;NA;Test Call Failed
601053;NA;NA;NA;NA;IPv6 Gateway;IPv6 Gateway;NA;NA;NA;NA;NA;NA;NA;The Test Call failed to complete.
601054;NA;NA;NA;NA;IPv6 prefix delegation;IPv6 prefix delegation;NA;NA;NA;NA;NA;NA;NA;Test Call Successful
601055;NA;NA;NA;NA;IPv6 DNS Address;IPv6 DNS Address;NA;NA;NA;NA;NA;NA;NA;The Test Call was successful
601056;NA;NA;NA;NA;DHCPv6 Server;DHCPv6 Server;NA;NA;NA;NA;NA;NA;NA;DNS Server Query in Progress
601057;NA;NA;NA;NA;Router Advertisement;Router Advertisement;NA;NA;NA;NA;NA;NA;NA;DNS Server Query Failed
601058;NA;NA;NA;NA;IPv6 Default Gateway;IPv6 Default Gateway;NA;NA;NA;NA;NA;NA;NA;The DNS Server Query failed.
601059;NA;NA;NA;NA;VF WiFi network status;Estado Red Vodafone WiFi;NA;NA;NA;NA;NA;NA;NA;DNS Server Query Successful
601060;NA;NA;NA;NA;On;Activado;NA;NA;NA;NA;NA;NA;NA;The DNS Server Query was successful.
601061;NA;NA;NA;NA;Max BW;Max BW;NA;NA;NA;NA;NA;NA;NA;Telephony
601062;NA;NA;NA;NA;VF WiFi key status;Estado VF WiFi Key;NA;NA;NA;NA;NA;NA;NA;Your decorated numer
601063;NA;NA;NA;NA;OK;Correcto;NA;NA;NA;NA;NA;NA;NA;DSL Mode
601064;NA;NA;NA;NA;NA;NA;NA;NA;ID 601064;No Connection;ID 601064;NA;NA;No Connection
601065;NA;NA;NA;NA;NA;NA;NA;NA;2.4 Ghz Bandwidth;2,4 Ghz Bandbreite;2,4 Ghz Bant geniÅŸliÄŸi;NA;NA;2,4 Ghz Bandbreite
601066;NA;NA;NA;NA;NA;NA;NA;NA;5 Ghz Bandwidth;5 Ghz Bandbreite;5 Ghz Bant geniÅŸliÄŸi;NA;NA;5 Ghz Bandbreite
601067;NA;NA;NA;NA;NA;NA;NA;NA;2.4 Ghz Channel;2,4 Ghz Kanal;2,4 Ghz Kanal;NA;NA;2,4 Ghz Kanal
601068;NA;NA;NA;NA;NA;NA;NA;NA;5 Ghz Channel;5 Ghz Kanal;5 Ghz Kanal;NA;NA;5 Ghz Kanal
601069;NA;NA;NA;NA;NA;NA;NA;NA;;;;NA;NA;
602001;LTE Status;LTE Status;4G ve 3G durumu;LTE Status;LTE Status;Estado LTE;NA;NA;LTE Status;LTE Status;4G ve 3G durumu;LTE Status;LTE Status;LTE Status
602002;Use the information below to optimize the router connection. You can optimize the positioning of the router also directly on your EasyBox LCD screen.;Mit diesen Informationen können Sie die Verbindungsqualität Ihrer EasyBox optimieren. Sie können dies Werte auch direkt auf der LCD-Anzeige Ihrer EasyBox ablesen, um den optimalen Standort zu ermitteln.;Bu bilgiler ile, EasyBox cihazınızın bağlantı kalitesini en iyi duruma getirebilirsiniz. En iyi yeri belirlemek için isterseniz bu değerleri doğrudan EasyBox cihazınızın ekranından da okuyabilirsiniz.;Use the information below to optimize the router connection. You can optimize the positioning of the router also directly on your EasyBox LCD screen.;Use the information below to optimize the router connection. You can optimize the positioning of the router also directly on your router LCD screen.;Utilice la siguiente información para optimizar la conexión del router. Usted puede optimizar el posicionamiento del router también directamente en la pantalla LCD del router.;Use the information below to optimize the router connection. You can optimize the positioning of the router also directly on your EasyBox LCD screen.;;Mit diesen Informationen können Sie die Verbindungsqualität Ihrer EasyBox optimieren. Sie können dies Werte auch direkt auf der LCD-Anzeige Ihrer EasyBox ablesen, um den optimalen Standort zu ermitteln.;Use the information below to optimize the Easybox connection. You can optimize the positioning of the router also directly on your EasyBox LCD screen.;Bu bilgiler ile, EasyBox cihazınızın bağlantı kalitesini en iyi duruma getirebilirsiniz. En iyi yeri belirlemek için isterseniz bu değerleri doğrudan EasyBox cihazınızın ekranından da okuyabilirsiniz.;Mit diesen Informationen können Sie die Verbindungsqualität Ihrer EasyBox optimieren. Sie können dies Werte auch direkt auf der LCD-Anzeige Ihrer EasyBox ablesen, um den optimalen Standort zu ermitteln.;Use the information below to optimize the Easybox connection. You can optimize the positioning of the router also directly on your EasyBox LCD screen.;Use the information below to optimize the PlusBox connection. You can optimize the positioning of the router also directly on your PlusBox LCD screen.
602003;LTE Status;LTE Status;4G durumu;LTE Status;LTE Status;Estado LTE;LTE Status;;LTE Status;LTE Status;4G durumu;LTE Status;LTE Status;LTE Status
602004;Connection;Verbindung;Bağlantı;Connection;Connection;Conexión;Connection;;Verbindung;Connection;Bağlantı;Verbindung;Connection;Connection
602005;Data;Daten ;Veri;Data;Data;Datos;Data;;Daten ;Data;Veri;Daten ;Data;Data
602006;Voice;Sprache;Konuşma;Voice;Voice;Voz;Voice;;Sprache;Voice;Konuşma;Sprache;Voice;Voice
602007;SIM IMSI;SIM IMSI;SIM IMSI;SIM IMSI;SIM IMSI;SIM IMSI;SIM IMSI;;SIM IMSI;SIM IMSI;SIM IMSI;SIM IMSI;SIM IMSI;SIM IMSI
602008;UMTS Status;UMTS Status;3G durumu;UMTS Status;UMTS Status;Estado 3G;UMTS Status;;UMTS Status;UMTS Status;3G durumu;UMTS Status;UMTS Status;UMTS Status
602009;UMTS;UMTS;3G;UMTS;UMTS;UMTS;UMTS;;UMTS;UMTS;3G;UMTS;UMTS;UMTS
602010;not available;nicht verfügbar;mevcut değil;not available;not available;no disponible;not available;;nicht verfügbar;not available;mevcut değil;nicht verfügbar;not available;not available
602011;available;verfügbar;mevcut;available;available;disponible;available;;verfügbar;available;mevcut;verfügbar;available;available
602012;Valid service;Gültiger Dienst;Geçerli hizmet;Valid service;Valid service;Servicio válido;Valid service;;Gültiger Dienst;Valid service;Geçerli hizmet;Gültiger Dienst;Valid service;Valid service
602013;LTE 2600 FDD;LTE 2600 FDD;4G 2600 FDD;LTE 2600 FDD;LTE 2600 FDD;LTE 2600 FDD;LTE 2600 FDD;;LTE 2600 FDD;LTE 2600 FDD;4G 2600 FDD;LTE 2600 FDD;LTE 2600 FDD;LTE 2600 FDD
602014;LTE 2600 TDD;LTE 2600 TDD;4G 2600 TDD;LTE 2600 TDD;LTE 2600 TDD;LTE 2600 TDD;LTE 2600 TDD;;LTE 2600 TDD;LTE 2600 TDD;4G 2600 TDD;LTE 2600 TDD;LTE 2600 TDD;LTE 2600 TDD
602015;LTE 800;LTE 800;4G 800;LTE 800;LTE 800;LTE 800;LTE 800;;LTE 800;LTE 800;4G 800;LTE 800;LTE 800;LTE 800
602016;DSL Status;DSL Status;DSL durumu;DSL Status;DSL Status;Estado DSL;DSL Status;;DSL Status;DSL Status;DSL durumu;DSL Status;DSL Status;DSL Status
602017;DSL Mode;DSL Mode;DSL modu;DSL Mode;DSL Mode;Modo DSL;DSL Mode;;DSL Mode;DSL Mode;DSL modu;DSL Mode;DSL Mode;DSL Mode
602018;DSL Status Information;DSL Status Information;DSL durum bilgisi;DSL Status Information;DSL Status Information;Información de estado de DSL;DSL Status Information;;DSL Status Information;DSL Status Information;DSL durum bilgisi;DSL Status Information;DSL Status Information;DSL Status Information
602019;Configured;Konfiguriert;Yapılandırma;Configured;Configured;Configurado;Configured;;Konfiguriert;Configured;Yapılandırma;Konfiguriert;Configured;Configured
602020;Current;Aktuell;Güncel;Current;Current;Actual;Current;;Aktuell;Current;Güncel;Aktuell;Current;Current
602021;Line Status;Line Status;Line Status;Line Status;Line Status;Estado de la línea;Line Status;;Line Status;Line Status;Line Status;Line Status;Line Status;Line Status
602022;Link Type;Link Type;Link Type;Link Type;Link Type;Tipo de enlace;Link Type;;Link Type;Link Type;Link Type;Link Type;Link Type;Link Type
602023;Bit Rate;Bit Rate;Bit Rate;Bit Rate;Bit Rate;Bit Rate;Bit Rate;;Bit Rate;Bit Rate;Bit Rate;Bit Rate;Bit Rate;Bit Rate
602024;Downstream;Downstream;Downstream;Downstream;Downstream;Downstream;Downstream;;Downstream;Downstream;Downstream;Downstream;Downstream;Downstream
602025;Upstream;Upstream;Upstream;Upstream;Upstream;Upstream;Upstream;;Upstream;Upstream;Upstream;Upstream;Upstream;Upstream
602026;Actual Data Rate;Aktuelle Datenrate;Güncel Data Rate;Actual Data Rate;Actual Data Rate;Velocidad de datos real;Actual Data Rate;;Aktuelle Datenrate;Actual Data Rate;Güncel Data Rate;Aktuelle Datenrate;Actual Data Rate;Actual Data Rate
602027;Operating Data;DSL-Daten;Operating Data;Operating Data;Operating Data;Datos Operativos;Operating Data;;DSL-Daten;Operating Data;Operating Data;DSL-Daten;Operating Data;Operating Data
602028;SNR Margin;SNR Margin;Noise Margin;SNR Margin;SNR Margin;Margen SNR;SNR Margin;;SNR Margin;SNR Margin;Noise Margin;SNR Margin;SNR Margin;SNR Margin
602029;Loop Attenuation;Leitungsdämpfung;Attenuation;Loop Attenuation;Loop Attenuation;Atenuación de bucle;Loop Attenuation;;Leitungsdämpfung;Loop Attenuation;Attenuation;Leitungsdämpfung;Loop Attenuation;Loop Attenuation
602030;Error Counter;Fehlerzähler;Error Display;Error Counter;Error Counter;Contador de errores;Error Counter;;Fehlerzähler;Error Counter;Error Display;Fehlerzähler;Error Counter;Error Counter
602031;Indicator Name;Indicator Name;Indicator Name;Indicator Name;Indicator Name;Nombre del Indicador;Indicator Name;;Indicator Name;Indicator Name;Indicator Name;Indicator Name;Indicator Name;Indicator Name
602032;FEC Corrections;FEC Corrections;FEC Corrections;FEC Corrections;FEC Corrections;FEC Corrections;FEC Corrections;;FEC Corrections;FEC Corrections;FEC Corrections;FEC Corrections;FEC Corrections;FEC Corrections
602033;CRC Error;CRC Error;CRC Error;CRC Error;CRC Error;CRC Error;CRC Error;;CRC Error;CRC Error;CRC Error;CRC Error;CRC Error;CRC Error
602034;Statistics;Statistik;İstatistik;Statistics;Statistics;Estadísticas;Statistics;;Statistik;Statistics;İstatistik;Statistik;Statistics;Statistics
602035;Transmitted Cells;Gesendete Zellen;Gönderilen hücreler;Transmitted Cells;Transmitted Cells;Transmitted Cells;Transmitted Cells;;Gesendete Zellen;Transmitted Cells;Gönderilen hücreler;Gesendete Zellen;Transmitted Cells;Transmitted Cells
602036;Received Cells;Empfangene Zellen;Alınan hücreler;Received Cells;Received Cells;Received Cells;Received Cells;;Empfangene Zellen;Received Cells;Alınan hücreler;Empfangene Zellen;Received Cells;Received Cells
602037;Cell Counter;Zellen-Zähler;Hücre sayacı;Cell Counter;Cell Counter;Cell Counter;Cell Counter;;Zellen-Zähler;Cell Counter;Hücre sayacı;Zellen-Zähler;Cell Counter;Cell Counter
602038;Placeholder text for UMTS Status. VF must provide correct text.;;;;NA;NA;Placeholder text for UMTS Status. VF must provide correct text.;;;Placeholder text for UMTS Status. VF must provide correct text.;;;Placeholder text for UMTS Status. VF must provide correct text.;Placeholder text for UMTS Status. VF must provide correct text.
602039;No LTE SIM Card;Keine LTE SIM-Karte;4G SIM kartı yok;No LTE SIM Card;No LTE SIM Card;No hay tarjeta SIM LTE;No LTE SIM Card;;Keine LTE SIM-Karte;No LTE SIM Card;4G SIM kartı yok;Keine LTE SIM-Karte;No LTE SIM Card;No LTE SIM Card
602040;Initiating LTE connection;LTE Verbindung wird aufgebaut;4G bağlantısı kuruluyor;Initiating LTE connection;Initiating LTE connection;Iniciando conexión LTE;Initiating LTE connection;;LTE Verbindung wird aufgebaut;Initiating LTE connection;4G bağlantısı kuruluyor;LTE Verbindung wird aufgebaut;Initiating LTE connection;Initiating LTE connection
602041;SIM is waiting for PIN;SIM-Karte wartet auf PIN-Eingabe;SIM kartı PIN kodunun girilmesini bekliyor;SIM is waiting for PIN;SIM is waiting for PIN;SIM está esperando PIN;SIM is waiting for PIN;;SIM-Karte wartet auf PIN-Eingabe;SIM is waiting for PIN;SIM kartı PIN kodunun girilmesini bekliyor;SIM-Karte wartet auf PIN-Eingabe;SIM is waiting for PIN;SIM is waiting for PIN
602042;Not initialized;Nicht initialisiert;İlk yükleme yapılmadı;Not initialized;Not initialized;No inicializado;Not initialized;;Nicht initialisiert;Not initialized;İlk yükleme yapılmadı;Nicht initialisiert;Not initialized;Not initialized
602043;Idle;Idle;Idle;Idle;Idle;Inactivo;Idle;;Idle;Idle;Idle;Idle;Idle;Idle
602044;Silent;Silent;Silent;Silent;Silent;Silencioso;Silent;;Silent;Silent;Silent;Silent;Silent;Silent
602045;Handshaking;Handshaking;Handshaking;Handshaking;Handshaking;Handshaking;Handshaking;;Handshaking;Handshaking;Handshaking;Handshaking;Handshaking;Handshaking
602046;Full initializing;Full initializing;Full initializing;Full initializing;Full initializing;Inicialización completa;Full initializing;;Full initializing;Full initializing;Full initializing;Full initializing;Full initializing;Full initializing
602047;Short initializing;Short initializing;Short initializing;Short initializing;Short initializing;Inicialización rápida;Short initializing;;Short initializing;Short initializing;Short initializing;Short initializing;Short initializing;Short initializing
602048;Discovering;Discovering;Discovering;Discovering;Discovering;Discovering;Discovering;;Discovering;Discovering;Discovering;Discovering;Discovering;Discovering
602049;Training;Training;Training;Training;Training;Training;Training;;Training;Training;Training;Training;Training;Training
602050;Show Time;Show Time;Show Time;Show Time;Show Time;Show Time;Show Time;;Show Time;Show Time;Show Time;Show Time;Show Time;Show Time
602051;Show Time;Show Time;Show Time;Show Time;Show Time;Show Time;Show Time;;Show Time;Show Time;Show Time;Show Time;Show Time;Show Time
602052;Fast re-train;Fast re-train;Fast re-train;Fast re-train;Fast re-train;Fast re-train;Fast re-train;;Fast re-train;Fast re-train;Fast re-train;Fast re-train;Fast re-train;Fast re-train
602053;L2 power management state;L2 power management state;L2 power management state;L2 power management state;L2 power management state;L2 power management state;L2 power management state;;L2 power management state;L2 power management state;L2 power management state;L2 power management state;L2 power management state;L2 power management state
602054;Running diagnosis;Running diagnosis;Running diagnosis;Running diagnosis;Running diagnosis;Ejecución de diagnóstico;Running diagnosis;;Running diagnosis;Running diagnosis;Running diagnosis;Running diagnosis;Running diagnosis;Running diagnosis
602055;Diagnosis complete;Diagnosis complete;Diagnosis complete;Diagnosis complete;Diagnosis complete;Diagnóstico completo;Diagnosis complete;;Diagnosis complete;Diagnosis complete;Diagnosis complete;Diagnosis complete;Diagnosis complete;Diagnosis complete
602056;Re-synchronizing;Re-synchronizing;Re-synchronizing;Re-synchronizing;Re-synchronizing;Re-sincronización;Re-synchronizing;;Re-synchronizing;Re-synchronizing;Re-synchronizing;Re-synchronizing;Re-synchronizing;Re-synchronizing
602057;Line test;Line test;Line test;Line test;Line test;Test de línea;Line test;;Line test;Line test;Line test;Line test;Line test;Line test
602058;Loop test;Loop test;Loop test;Loop test;Loop test;Test de bucle;Loop test;;Loop test;Loop test;Loop test;Loop test;Loop test;Loop test
602059;L3 power management;L3 power management;L3 power management;L3 power management;L3 power management;L3 power management;L3 power management;;L3 power management;L3 power management;L3 power management;L3 power management;L3 power management;L3 power management
602060;Not available;Not available;Not available;Not available;Not available;No disponible;Not available;;Not available;Not available;Not available;Not available;Not available;Not available
602061;Fast path;Fast path;Fast path;Fast path;Fast path;Fast path;Fast path;;Fast path;Fast path;Fast path;Fast path;Fast path;Fast path
602062;Interleaved path;Interleaved path;Interleaved path;Interleaved path;Interleaved path;Interleaved path;Interleaved path;;Interleaved path;Interleaved path;Interleaved path;Interleaved path;Interleaved path;Interleaved path
602063;ADSL / ISDN;ADSL / ISDN;ADSL / ISDN;ADSL / ISDN;ADSL / ISDN;ADSL / ISDN;ADSL / ISDN;;ADSL / ISDN;ADSL / ISDN;ADSL / ISDN;ADSL / ISDN;ADSL / ISDN;ADSL / ISDN
602064;xDSL FEC Error;xDSL FEC Error;xDSL FEC Error;xDSL FEC Error;xDSL FEC Error;xDSL FEC Error;xDSL FEC Error;;xDSL FEC Error;xDSL FEC Error;xDSL FEC Error;xDSL FEC Error;xDSL FEC Error;xDSL FEC Error
602065;xDSL CRC-8 Error;xDSL CRC-8 Error;xDSL CRC-8 Error;xDSL CRC-8 Error;xDSL CRC-8 Error;xDSL CRC-8 Error;xDSL CRC-8 Error;;xDSL CRC-8 Error;xDSL CRC-8 Error;xDSL CRC-8 Error;xDSL CRC-8 Error;xDSL CRC-8 Error;xDSL CRC-8 Error
602066;ATM HEC Error;ATM HEC Error;ATM HEC Error;ATM HEC Error;ATM HEC Error;ATM HEC Error;ATM HEC Error;;ATM HEC Error;ATM HEC Error;ATM HEC Error;ATM HEC Error;ATM HEC Error;ATM HEC Error
602067;PTM CRC-n Error;PTM CRC-n Error;PTM CRC-n Error;PTM CRC-n Error;PTM CRC-n Error;PTM CRC-n Error;PTM CRC-n Error;;PTM CRC-n Error;PTM CRC-n Error;PTM CRC-n Error;PTM CRC-n Error;PTM CRC-n Error;PTM CRC-n Error
602068;PTM CRC-np Error;PTM CRC-np Error;PTM CRC-np Error;PTM CRC-np Error;PTM CRC-np Error;PTM CRC-np Error;PTM CRC-np Error;;PTM CRC-np Error;PTM CRC-np Error;PTM CRC-np Error;PTM CRC-np Error;PTM CRC-np Error;PTM CRC-np Error
602069;PTM CV-n Error;PTM CV-n Error;PTM CV-n Error;PTM CV-n Error;PTM CV-n Error;PTM CV-n Error;PTM CV-n Error;;PTM CV-n Error;PTM CV-n Error;PTM CV-n Error;PTM CV-n Error;PTM CV-n Error;PTM CV-n Error
602070;PTM CV-np Error;PTM CV-np Error;PTM CV-np Error;PTM CV-np Error;PTM CV-np Error;PTM CV-np Error;PTM CV-np Error;;PTM CV-np Error;PTM CV-np Error;PTM CV-np Error;PTM CV-np Error;PTM CV-np Error;PTM CV-np Error
