ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
502012;It is possible to update the firmware from a saved update file on a USB device. Click to automatically search the attached USB storage for an appropriate update. Please note that there should only be one firmware file selectable and that it lies on the main directory level (no sub folders). ;Sie können die Firmware mit einer gespeicherten Update-Datei auf einem USB-Stick aktualisieren. Klicken Sie hier, um den USB-Stick automatisch nach einem passenden File zu durchsuchen. Bitte beachten Sie, dass sich nur eine Update-Datei auf dem Stick befinden darf, und diese muss im Hauptverzeichnis liegen.;Firmware güncelleme işlemini USB bellek üzerinde kayıtlı olan bir güncelleme dosyası ile gerçekleştirebilirsiniz. USB bellek üzerinde uygun dosyayı otomatik olarak aramak için burayı tıklayınız. Lütfen bellek üzerinde sadece bir adet güncelleme dosyasının bulunması ve ana dizinde kayıtlı olması gerektiğini dikkate alınız.;It is possible to update the firmware from a saved update file on a USB device. Click to automatically search the attached USB storage for an appropriate update. Please note that there should only be one firmware file selectable and that it lies on the main directory level (no sub folders). ;It is possible to update the firmware from a saved update file on a USB device. Click to automatically search the attached USB storage for an appropriate update. Please note that there should only be one firmware file selectable and that it lies on the main directory level (no sub folders).;Es posible actualizar el firmware desde un archivo de actualización guardado en un dispositivo USB. Haga clic para buscar automáticamente en el almacenamiento USB conectado una actualización apropiada. Tenga en cuenta que sólo debe haber un fichero de firmware y que se encuentre en la directorio raiz (sin subcarpetas).;It is possible to update the firmware from a saved update file on a USB device. Click to automatically search the attached USB storage for an appropriate update. Please note that there should only be one firmware file selectable and that it lies on the main directory level (no sub folders). ;;Sie können die Firmware auf einem USB-Stick speichern und diesen an den USB-Anschluss der EasyBox anschließen. Klicken Sie dann hier, um die Firmware automatisch vom USB-Stick zu installieren. Bitte beachten Sie, dass sich nur eine Firmware auf dem USB-Stick befinden darf und diese im Hauptverzeichnis liegen muss.;"It is possible to update the firmware from a file saved on a USB storage attached to the USB port of your EasyBox. Click ""Install Update"" to start the automatic firmware upgrade. Please note that there should be only one firmware file on the storage and that one shall be located under the main directory (no search under subfolders).";Firmware güncelleme işlemini USB Stick üzerinde kayıtlı olan bir güncelleme dosyası ile gerçekleştirebilirsiniz. USB bellek üzerinde uygun dosyayı otomatik olarak aramak için burayı tıklayınız. Lütfen bellek üzerinde sadece bir adet güncelleme dosyasının bulunması ve ana dizinde kayıtlı olması gerektiğini dikkate alınız.;Sie können die Firmware auf einem USB-Stick speichern und diesen an den USB-Anschluss der EasyBox anschließen. Klicken Sie dann hier, um die Firmware automatisch vom USB-Stick zu installieren. Bitte beachten Sie, dass sich nur eine Firmware auf dem USB-Stick befinden darf und diese im Hauptverzeichnis liegen muss.;"It is possible to update the firmware from a file saved on a USB storage attached to the USB port of your EasyBox. Click ""Install Update"" to start the automatic firmware upgrade. Please note that there should be only one firmware file on the storage and that one shall be located under the main directory (no search under subfolders).";"It is possible to update the firmware from a file saved on a USB storage attached to the USB port of your PlusBox. Click ""Install Update"" to start the automatic firmware upgrade. Please note that there should be only one firmware file on the storage and that one shall be located under the main directory (no search under subfolders)."
502013;No USB device connected.;Kein USB-Gerät erkannt;USB cihazı bulunamadı;No USB device connected.;No USB device connected.;No hay ningún dispositivo USB conectado.;No USB device connected.;;Kein USB-Gerät erkannt;No USB device connected.;USB cihazı bulunamadı;Kein USB-Gerät erkannt;No USB device connected.;No USB device connected.
502014;Firmware is Up To Date;Firmware ist aktuell;Firmware versiyonu güncel;Firmware is Up To Date;Firmware is Up To Date;El firmware está actualizado;Firmware is Up To Date;;Firmware ist aktuell;Firmware is Up To Date;Firmware versiyonu güncel;Firmware ist aktuell;Firmware is Up To Date;Firmware is Up To Date
502015;Your EasyBox is already running the latest firmware.;Ihre EasyBox hat bereits die neueste Firmware installiert.;EasyBox cihazınızda zaten en yeni Firmware kurulu.;Your EasyBox is already running the latest firmware.;Your router is already running the latest firmware.;Su router ya tiene la última versión de Firmware;Your EasyBox is already running the latest firmware.;;Ihre EasyBox hat bereits die neueste Firmware installiert.;Your EasyBox is already running the latest firmware.;EasyBox cihazınızda zaten en yeni Firmware kurulu.;Ihre EasyBox hat bereits die neueste Firmware installiert.;Your EasyBox is already running the latest firmware.;Your PlusBox is already running the latest firmware.
502016;Checking for Firmware Update;Nach neuerer Firmware suchen;Daha yeni bir Firmware ara;Checking for Firmware Update;Checking for Firmware Update;Comprobación de la actualización de firmware;Checking for Firmware Update;;Nach neuerer Firmware suchen;Checking for Firmware Update;Daha yeni bir Firmware ara;Nach neuerer Firmware suchen;Checking for Firmware Update;Checking for Firmware Update
502017;Your EasyBox is checking online for an available firmware update.;Ihre EasyBox prüft online, ob eine neuere Firmware-Version verfügbar ist.;EasyBox cihazınız, daha yeni bir Firmware versiyonunun mevcut olup olmadığını online kontrol ediyor.;Your EasyBox is checking online for an available firmware update.;Your router is checking online for an available firmware update.;Su router está comprobando si existe una nueva versión de firmware;Your EasyBox is checking online for an available firmware update.;;Ihre EasyBox prüft online, ob eine neuere Firmware-Version verfügbar ist.;Your EasyBox is checking online for an available firmware update.;EasyBox cihazınız, daha yeni bir Firmware versiyonunun mevcut olup olmadığını online kontrol ediyor.;Ihre EasyBox prüft online, ob eine neuere Firmware-Version verfügbar ist.;Your EasyBox is checking online for an available firmware update.;Your PlusBox is checking online for an available firmware update.
502018;Installing Updated Firmware;Neue Firmware wird installiert;Yeni Firmware kuruluyor;Installing Updated Firmware;Installing Updated Firmware;Instalación del firmware actualizado;Installing Updated Firmware;;Neue Firmware wird installiert;Installing Updated Firmware;Yeni Firmware kuruluyor;Neue Firmware wird installiert;Installing Updated Firmware;Installing Updated Firmware
502019;Do not turn off your EasyBox;Bitte die EasyBox nicht ausschalten;Lütfen EasyBox cihazını kapatmayınız;Do not turn off your EasyBox;Do not turn off your router;No apague el router;Do not turn off your EasyBox;;Bitte die EasyBox nicht ausschalten;Do not turn off your EasyBox;Lütfen EasyBox cihazını kapatmayınız;Bitte die EasyBox nicht ausschalten;Do not turn off your EasyBox;Do not turn off your PlusBox
502020;Firmware Successfully Updated;Firmware erfolgreich aktualisiert;Firmware başarıyla güncellendi;Firmware Successfully Updated;Firmware Successfully Updated;Firmware actualizado correctamente;Firmware Successfully Updated;;Firmware erfolgreich aktualisiert;Firmware Successfully Updated;Firmware başarıyla güncellendi;Firmware erfolgreich aktualisiert;Firmware Successfully Updated;Firmware Successfully Updated
502021;Your EasyBox is now restarting. Please do not turn it off or press any buttons until it has restarted.;Ihre EasyBox wird nun neu gestartet. Bitte nicht ausschalten und keine Veränderungen vornehmen, bis der Neustart abgeschlossen ist.;EasyBox cihazınız şimdi yeniden başlatılıyor. Yeniden başlatma işlemi tamamlanıncaya kadar lütfen kapatmayınız ve herhangi bir değişiklik yapmayınız.;Your EasyBox is now restarting. Please do not turn it off or press any buttons until it has restarted.;Your router is now restarting. Please do not turn it off or press any buttons until it has restarted.;Su router se está reiniciando. Por favor, no lo apague ni pulse ningún botón hasta que se haya reiniciado.;Your EasyBox is now restarting. Please do not turn it off or press any buttons until it has restarted.;;Ihre EasyBox wird nun neu gestartet. Bitte nicht ausschalten und keine Veränderungen vornehmen, bis der Neustart abgeschlossen ist.;Your EasyBox is now restarting. Please do not turn it off or press any buttons until it has restarted.;EasyBox cihazınız şimdi yeniden başlatılıyor. Yeniden başlatma işlemi tamamlanıncaya kadar lütfen kapatmayınız ve herhangi bir değişiklik yapmayınız.;Ihre EasyBox wird nun neu gestartet. Bitte nicht ausschalten und keine Veränderungen vornehmen, bis der Neustart abgeschlossen ist.;Your EasyBox is now restarting. Please do not turn it off or press any buttons until it has restarted.;Your PlusBox is now restarting. Please do not turn it off or press any buttons until it has restarted.
502022;The selected file is not a valid update.;Die ausgewählte Datei ist keine gültige Firmware;Seçilen dosya geçerli bir Firmware değil.;The selected file is not a valid update.;The selected file is not a valid update.;El archivo seleccionado no es una actualización válida.;The selected file is not a valid update.;;Die ausgewählte Datei ist keine gültige Firmware;The selected file is not a valid update.;Seçilen dosya geçerli bir Firmware değil.;Die ausgewählte Datei ist keine gültige Firmware;The selected file is not a valid update.;The selected file is not a valid update.
502023;Check for Update;Firmware suchen;Firmware ara;Check for Update;Check for Update;Buscar actualizaciones;Check for Update;;Firmware suchen;Check for Update;Firmware ara;Firmware suchen;Check for Update;Check for Update
502024;Install Update;Firmware installieren;Firmware yükle;Install Update;Install Update;Instale la actualización;Install Update;;Firmware installieren;Install Update;Firmware yükle;Firmware installieren;Install Update;Install Update
502025;Select File;Datei auswählen;Dosya seç;Select File;Select File;Seleccione Archivo;Select File;;Datei auswählen;Select File;Dosya seç;Datei auswählen;Select File;Select File
502026;Checking file;Datei prüfen;Dosya kontrol ediliyor;Checking file;Checking file;Comprobando archivo;Checking file;;Datei prüfen;Checking file;Dosya kontrol ediliyor;Datei prüfen;Checking file;Checking file
502027;Your EasyBox is checking the file for a firmware update.;Ihre EasyBox überprüft die Datei auf Firmware-Aktualisierung;EasyBox´unuz firmware güncellemesi için dosya kontrol ediyor.;Your EasyBox is checking the file for a firmware update.;Your router is checking the file for a firmware update.;Su router está comprobando el archivo de actualización del firmware.;Your EasyBox is checking the file for a firmware update.;;Ihre EasyBox überprüft die Datei auf Firmware-Aktualisierung;Your EasyBox is checking the file for a firmware update.;EasyBox´unuz firmware güncellemesi için dosya kontrol ediyor.;Ihre EasyBox überprüft die Datei auf Firmware-Aktualisierung;Your EasyBox is checking the file for a firmware update.;Your PlusBox is checking the file for a firmware update.
502028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Username
502029;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Password
502030;No suitable firmware located;Keine Firmware vorhanden;Firmware mevcut değil;No suitable firmware located;No suitable firmware located;No se ha encontrado un archivo de firmware adecuado;No suitable firmware located;;Keine Firmware vorhanden;No suitable firmware located;Firmware mevcut değil;Keine Firmware vorhanden;No suitable firmware located;No suitable firmware located
502031;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Change Username
502032;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Change Password
502033;File upload in progress;Datenübertragung wird durchgeführt;Veri transferi gerçekleştiriliyor;File upload in progress;File upload in progress;Carga de archivos en curso;File upload in progress;;Datenübertragung wird durchgeführt;File upload in progress;Veri transferi gerçekleştiriliyor;Datenübertragung wird durchgeführt;File upload in progress;File upload in progress
502034;Firmware Update Failed;Firmware-Aktualisierung fehlgeschlagen;Firmware güncelleme başarısız;Firmware Update Failed;Firmware Update Failed;Error de actualización de firmware;Firmware Update Failed;;Firmware-Aktualisierung fehlgeschlagen;Firmware Update Failed;Firmware güncelleme başarısız;Firmware-Aktualisierung fehlgeschlagen;Firmware Update Failed;Firmware Update Failed
502035;Firmware update process has failed;Firmware-Aktualisierung fehlgeschlagen;Firmware güncelleme başarısız;Firmware update process has failed;Firmware update process has failed;El proceso de actualización del firmware ha fallado;Firmware update process has failed;;Firmware-Aktualisierung fehlgeschlagen;Firmware update process has failed;Firmware güncelleme başarısız;Firmware-Aktualisierung fehlgeschlagen;Firmware update process has failed;Firmware update process has failed
502036;Manual Firmware update cannot start;Manuelle Firmware-Aktualisierung kann nicht starten;Manüel Firmware güncelleme başlatılamıyor;Manual Firmware update cannot start;Manual Firmware update cannot start;La actualización manual del firmware no se puede iniciar;Manual Firmware update cannot start;;Manuelle Firmware-Aktualisierung kann nicht starten;Manual Firmware update cannot start;Manüel Firmware güncelleme başlatılamıyor;Manuelle Firmware-Aktualisierung kann nicht starten;Manual Firmware update cannot start;Manual Firmware update cannot start
502037;Manual Firmware Update Failed;Manuelle Firmware-Aktualisierung fehlgeschlagen;Manüel Firmware güncelleme başarısız;Manual Firmware Update Failed;Manual Firmware Update Failed;Error en la actualización manual de firmware;Manual Firmware Update Failed;;Manuelle Firmware-Aktualisierung fehlgeschlagen;Manual Firmware Update Failed;Manüel Firmware güncelleme başarısız;Manuelle Firmware-Aktualisierung fehlgeschlagen;Manual Firmware Update Failed;Manual Firmware Update Failed
502038;Online Firmware update cannot start.;Online Firmware-Aktualisierung kann nicht starten;Online Firmware güncelleme başlatılamıyor;Online Firmware update cannot start.;Online Firmware update cannot start.;La actualización del firmware online no ha podido iniciarse;Online Firmware update cannot start.;;Online Firmware-Aktualisierung kann nicht starten;Online Firmware update cannot start.;Online Firmware güncelleme başlatılamıyor;Online Firmware-Aktualisierung kann nicht starten;Online Firmware update cannot start.;Online Firmware update cannot start.
502039;Online Firmware Update Failed;Online Firmware-Aktualisierung fehlgeschlagen;Online Firmware güncelleme başarısız;Online Firmware Update Failed;Online Firmware Update Failed;La actualización del firmware online ha fallado;Online Firmware Update Failed;;Online Firmware-Aktualisierung fehlgeschlagen;Online Firmware Update Failed;Online Firmware güncelleme başarısız;Online Firmware-Aktualisierung fehlgeschlagen;Online Firmware Update Failed;Online Firmware Update Failed
502040;Please wait while the EasyBox is being reset to factory defaults.;Bitte warten Sie, die EasyBox wird auf Werkseinstellungen zurückgesetzt.;Lütfen bekleyiniz, EasyBox fabrika ayarlarına geri çevriliyor;Please wait while the EasyBox is being reset to factory defaults.;Please wait while the router is being reset to factory defaults.;Espere mientras se restaura el router a los valores de fábrica.;Please wait while the EasyBox is being reset to factory defaults.;;Bitte warten Sie, die EasyBox wird auf Werkseinstellungen zurückgesetzt.;Please wait while the EasyBox is being reset to factory defaults.;Lütfen bekleyiniz, EasyBox fabrika ayarlarına geri çevriliyor;Bitte warten Sie, die EasyBox wird auf Werkseinstellungen zurückgesetzt.;Please wait while the EasyBox is being reset to factory defaults.;Please wait while the PlusBox is being reset to factory defaults.
502041;Please wait while the configuration file is being uploaded.;Bitte warten Sie, die Konfigurationsdaten werden geladen.;Lütfen bekleyiniz, konfigürasyon verileri yükleniyor.;Please wait while the configuration file is being uploaded.;Please wait while the configuration file is being uploaded.;Espere mientras se carga el archivo de configuración por favor.;Please wait while the configuration file is being uploaded.;;Bitte warten Sie, die Konfigurationsdaten werden geladen.;Please wait while the configuration file is being uploaded.;Lütfen bekleyiniz, konfigürasyon verileri yükleniyor.;Bitte warten Sie, die Konfigurationsdaten werden geladen.;Please wait while the configuration file is being uploaded.;Please wait while the configuration file is being uploaded.
502042;Sending firmware image file to server.;Firmware Image Datei wird zum Server übertragen.;Firmware image dosyası sunucuya aktarılıyor.;Sending firmware image file to server.;Sending firmware image file to server.;Enviando fichero de firmware al servidor;Sending firmware image file to server.;;Firmware Image Datei wird zum Server übertragen.;Sending firmware image file to server.;Firmware image dosyası sunucuya aktarılıyor.;Firmware Image Datei wird zum Server übertragen.;Sending firmware image file to server.;Sending firmware image file to server.
502043;USB Firmware update cannot start;USB Firmware-Aktualisierung kann nicht starten;USB Firmware güncelleme başlatılamıyor;USB Firmware update cannot start;USB Firmware update cannot start;La actualización de firmware por USB no se puede iniciar;USB Firmware update cannot start;;USB Firmware-Aktualisierung kann nicht starten;USB Firmware update cannot start;USB Firmware güncelleme başlatılamıyor;USB Firmware-Aktualisierung kann nicht starten;USB Firmware update cannot start;USB Firmware update cannot start
502044;USB Firmware Update Failed;USB Firmware-Aktualisierung fehlgeschlagen;USB Firmware güncelleme başarısız;USB Firmware Update Failed;USB Firmware Update Failed;Error en la actualización de firmware por USB;USB Firmware Update Failed;;USB Firmware-Aktualisierung fehlgeschlagen;USB Firmware Update Failed;USB Firmware güncelleme başarısız;USB Firmware-Aktualisierung fehlgeschlagen;USB Firmware Update Failed;USB Firmware Update Failed
