700029;Save;Speichern;Kaydet;Save;Save;Guardar;Save;;Speichern;Save;Kaydet;Speichern;Save;Save
700030;Do you want to reset this page to default settings?;Wollen Sie diese Seite zurücksetzen?;Bu sayfayı sıfırlamak istiyor musunuz?;Do you want to reset this page to default settings?;Do you want to reset this page to default settings?;¿Quiere reiniciar esta página a los ajustes predeterminados?;Do you want to reset this page to default settings?;;Wollen Sie diese Seite zurücksetzen?;Do you want to reset this page to default settings?;Bu sayfayı sıfırlamak istiyor musunuz?;Wollen Sie diese Seite zurücksetzen?;Do you want to reset this page to default settings?;Do you want to reset this page to default settings?
700031;Overview;Übersicht;Genel bakış;Overview;Overview;Visión general;Overview;Panoramica;Übersicht;Overview;Genel bakış;Übersicht;Overview;Overview
700032;Phone;Telefon;Telefon;Phone;Phone;Teléfono;Phone;Telefono;Telefon;Phone;Telefon;Telefon;Phone;Phone
700033;Internet;Internet;İnternet;Internet;Internet;Internet;Internet;Internet;Internet;Internet;İnternet;Internet;Internet;Internet
700034;WiFi;W-LAN;WiFi;WiFi;WiFi;WiFi;WiFi;WiFi;WLAN;WiFi;Wifi;WLAN;WiFi;WiFi
700035;Settings;Einstellungen;Ayarlar;Settings;Settings;Configuración;Settings;Impostazioni;Einstellungen;Settings;Ayarlar;Einstellungen;Settings;Settings
700036;Status & Support;Status & Hilfe;Durum & Yardım;Status & Support;Status & Support;Estado y Soporte;Status & Support;Stato e Supporto;Status & Hilfe;Status & Support;Durum & Yardım;Status & Hilfe;Status & Support;Status
700037;Basic;Standart;Standart;Basic;Basic;Básico;Basic;;Standart;Basic;Standart;Standart;Basic;Basic
700038;Expert;Experte;Uzman;Expert;Expert;Experto;Expert;;Experte;Expert;Uzman;Experte;Expert;Expert
700039;OK;Ok;Tamam;OK;OK;OK;OK;;Ok;OK;Tamam;Ok;OK;OK
700040;Delete;Löschen;Sil;Delete;Delete;Borrar;Delete;;Löschen;Delete;Sil;Löschen;Delete;Delete
700041;Activate;Aktivieren;Ayarlar;Activate;Activate;Activar;Activate;;Aktivieren;Activate;Ayarlar;Aktivieren;Activate;Activate
700042;Send;Senden;Gönder;Send;Send;Enviar;Send;;Senden;Send;Gönder;Senden;Send;Send
700043;Enter Your New Password;Neues Kennwort eingeben;Yeni şifre gir;Enter Your New Password;Enter Your New Password;Escriba su Nueva Contraseña;Enter Your New Password;;Neues EasyBox-Kennwort eingeben;Enter your new EasyBox Password;Yeni şifre gir;Neues EasyBox-Kennwort eingeben;Enter your new EasyBox Password;Enter your new PlusBox Password
700044;Password;Kennwort;Şifre;Password;Password;Contraseña;Password;;Neues Kennwort;New Password;Şifre;Neues Kennwort;New Password;New Password
700045;Re-enter Password;Kennwort wiederholen;Şifreyi tekrar gir;Re-enter Password;Re-enter Password;Repita contraseña;Re-enter Password;;Kennwort bestätigen;Re-enter Password;Şifreyi tekrar gir;Kennwort bestätigen;Re-enter Password;Re-enter Password
700046;The passwords you entered do not match.;Die Kennwörter stimmen nicht überein.;Girilen şifreler aynı değil.;The passwords you entered do not match.;The passwords you entered do not match.;Las contraseñas no coinciden.;The passwords you entered do not match.;;Die Kennwörter stimmen nicht überein.;The passwords you entered do not match.;Girilen şifreler aynı değil.;Die Kennwörter stimmen nicht überein.;The passwords you entered do not match.;The passwords you entered do not match.
700047;Load;Laden;Yükle;Load;Load;Cargar;Load;;Laden;Load;Yükle;Laden;Load;Load
700048;Save;Speichern;Dosyaya kaydet;Save;Save;Guardar;Save;;Speichern;Save;Dosyaya kaydet;Speichern;Save;Save
700049;You are still using the default WiFi password. To prevent unwanted users connecting, you should change it.;Sie verwenden noch den voreingestellten W-LAN Schlüssel. Aus Sicherheitsgründen sollten Sie den Schlüssel ändern.;Halen standart WiFi şifresini kullanıyorsunuz. İzinsiz kullanımı önlemek için şifreyi değiştirmeniz gerekmektedir.;You are still using the default WiFi password. To prevent unwanted users connecting, you should change it.;You are still using the default WiFi password. To prevent unwanted users connecting, you should change it.;Usted todavía está utilizando la contraseña de WiFi por defecto. Para evitar que usuarios no deseados se conecten, debería cambiarla.;You are still using the default WiFi password. To prevent unwanted users connecting, you should change it.;;Sie verwenden das voreingestellte WLAN-Kennwort. Aus Sicherheitsgründen sollten Sie das Kennwort ändern.;You are still using the default WiFi password. To prevent unwanted users connecting, you should change it.;Halen standart WiFi şifresini kullanıyorsunuz. İzinsiz kullanımı önlemek için şifreyi değiştirmeniz gerekmektedir.;Sie verwenden das voreingestellte WLAN-Kennwort. Aus Sicherheitsgründen sollten Sie das Kennwort ändern.;You are still using the default WiFi password. To prevent unwanted users connecting, you should change it.;You are still using the default WiFi password. To prevent unwanted users connecting, you should change it.
700050;You have not completed the activation yet. The setup process only takes a couple of minutes.;Sie haben die Aktivierung noch nicht abgeschlossen. Die Einrichtung dauert nur einige Minuten.;İnternet bağlantınız henüz düzenlenmedi. Düzenleme işlemi sadece birkaç dakika sürecektir.;You have not completed the activation yet. The setup process only takes a couple of minutes.;You have not completed the activation yet. The setup process only takes a couple of minutes.;Usted no ha completado la activación todavía. El proceso de instalación sólo dura un par de minutos.;You have not completed the activation yet. The setup process only takes a couple of minutes.;;Sie haben die Aktivierung noch nicht abgeschlossen. Die Aktivierung dauert nur einige Minuten.;You have not completed the activation yet. The activation takes a couple of minutes only.;İnternet bağlantınız henüz düzenlenmedi. Düzenleme işlemi sadece birkaç dakika sürecektir.;Sie haben die Aktivierung noch nicht abgeschlossen. Die Aktivierung dauert nur einige Minuten.;You have not completed the activation yet. The activation takes a couple of minutes only.;You have not completed the activation yet. The activation takes a couple of minutes only.
700051;Your voicemail has reached its maximum capacity. Please delete some messages.;Ihr Anrufbeantworter hat die maximale Aufnahmekapazität erreicht. Bitte löschen Sie einige Nachrichten.;Telesekreteriniz maksimum mesaj sayısına erişmiştir. Lütfen birkaç mesajı siliniz.;Your voicemail has reached its maximum capacity. Please delete some messages.;Your voicemail has reached its maximum capacity. Please delete some messages.;El buzón de voz ha alcanzado su capacidad máxima. Por favor, elimine algunos mensajes.;Your voicemail has reached its maximum capacity. Please delete some messages.;;Ihr Anrufbeantworter hat die maximale Aufnahmekapazität erreicht. Bitte löschen Sie einige Nachrichten.;Your voicemail has reached its maximum capacity. Please delete some messages.;Telesekreteriniz maksimum mesaj sayısına erişmiştir. Lütfen birkaç mesajı siliniz.;Ihr Anrufbeantworter hat die maximale Aufnahmekapazität erreicht. Bitte löschen Sie einige Nachrichten.;Your voicemail has reached its maximum capacity. Please delete some messages.;Your voicemail has reached its maximum capacity. Please delete some messages.
700052;View;Anzeigen;Göster;View;View;Ver;View;;Anzeigen;View;Göster;Anzeigen;View;View
700053;Dismiss;Ablehnen;Reddet;Dismiss;Dismiss;Rechazar;Dismiss;;Ignorieren;Ignore;Reddet;Ignorieren;Ignore;Ignore
700054;Your EasyBox is now recording all connection events. You can press Stop at any time and view the results file.;Ihre EasyBox zeichnet nun alle Verbindungsereignisse auf. Sie können jederzeit anhalten und die Ergebnisse ansehen.;EasyBox cihazınız şimdi tüm bağlantı olaylarını kaydedecektir. Kaydetme işlemini istediğiniz zaman durdurabilir ve sonuçları görüntüleyebilirsiniz.;Your EasyBox is now recording all connection events. You can press Stop at any time and view the results file.;Your router is now recording all connection events. You can press Stop at any time and view the results file.;Su router está grabando todos los eventos de conexión. Puede hacer clic en Detener y ver el fichero de resultados.;Your EasyBox is now recording all connection events. You can press Stop at any time and view the results file.;;Ihre EasyBox zeichnet nun alle Verbindungsereignisse auf. Sie können jederzeit anhalten und die Ergebnisse ansehen.;Your EasyBox is now recording all connection events. You can press Stop at any time and view the results file.;EasyBox cihazınız şimdi tüm bağlantı olaylarını kaydedecektir. Kaydetme işlemini istediğiniz zaman durdurabilir ve sonuçları görüntüleyebilirsiniz.;Ihre EasyBox zeichnet nun alle Verbindungsereignisse auf. Sie können jederzeit anhalten und die Ergebnisse ansehen.;Your EasyBox is now recording all connection events. You can press Stop at any time and view the results file.;Your PlusBox is now recording all connection events. You can press Stop at any time and view the results file.
700055;Stop;Stopp;Dur;Stop;Stop;Detener;Stop;;Stopp;Stop;Dur;Stopp;Stop;Stop
700056;Basic Mode;Standard-Modus;Standart modu;Basic Mode;Basic Mode;Modo básico;Basic Mode;Modalità Base;Standard-Modus;Basic Mode;Standart modu;Standard-Modus;Basic Mode;Basic Mode
700057;Expert Mode;Experten-Modus;Uzman modu;Expert Mode;Expert Mode;Modo Experto;Expert Mode;Modalità Esperto;Experten-Modus;Expert Mode;Uzman modu;Experten-Modus;Expert Mode;Expert Mode
700058;Select;Auswählen;Seç;Select;Select;Seleccionar;Select;;Auswählen;Select;Seç;Auswählen;Select;Select
700059;Landline;Festnetz;Sabit hat;Landline;Landline;Teléfono fijo;Landline;;Festnetz;Landline;Sabit hat;Festnetz;Landline;Landline
700060;Mobile;Mobil;Mobil hat;Mobile;Mobile;Móvil;Mobile;;Mobil;Mobile;Mobil hat;Mobil;Mobile;Mobile
700061;The pairing function is now locked as you have entered 10 invalid PINs. Click Change to generate a new PIN.;Die Pairing Funktion ist nun gesperrt, weil Sie 10 ungültige PINs eingegeben haben. Klicken Sie auf Ändern, um eine neue PIN zu generieren.;10 adet geçersiz PIN kodu girdiğiniz için Pairing fonksiyonu bloke olmuştur. Yeni bir PIN kodu oluşturmak için Değiştir'i tıklayınız.;The pairing function is now locked as you have entered 10 invalid PINs. Click Change to generate a new PIN.;The pairing function is now locked as you have entered 10 invalid PINs. Click Change to generate a new PIN.;La función de emparejamiento está bloqueada ya que ha introducido 10 PIN no válidos. Haga clic en Cambiar para generar un nuevo PIN.;The pairing function is now locked as you have entered 10 invalid PINs. Click Change to generate a new PIN.;;Die Pairing Funktion ist nun gesperrt, weil Sie 10 ungültige PINs eingegeben haben. Klicken Sie auf Ändern, um eine neue PIN zu generieren.;The pairing function is now locked as you have entered 10 invalid PINs. Click Change to generate a new PIN.;10 adet geçersiz PIN kodu girdiğiniz için Pairing fonksiyonu bloke olmuştur. Yeni bir PIN kodu oluşturmak için Değiştir'i tıklayınız.;Die Pairing Funktion ist nun gesperrt, weil Sie 10 ungültige PINs eingegeben haben. Klicken Sie auf Ändern, um eine neue PIN zu generieren.;The pairing function is now locked as you have entered 10 invalid PINs. Click Change to generate a new PIN.;The pairing function is now locked as you have entered 10 invalid PINs. Click Change to generate a new PIN.
700062;Change;Ändern;Değiştir;Change;Change;Cambiar;Change;;Ändern;Change;Değiştir;Ändern;Change;Change
700063;Dismiss;Abweisen;Reddet;Dismiss;Dismiss;Rechazar;Dismiss;;Ignorieren;Ignore;Reddet;Ignorieren;Ignore;Ignore
700064;Some Expert Mode settings in use;Einige Änderungen im Experten-Mode durchgeführt;Bazı değişiklikler uzman modunda gerçekleştirildi;Some Expert Mode settings in use;Some Expert Mode settings in use;Algunos ajustes de Modo Experto están uso;Some Expert Mode settings in use;Alcuni utenti stanno utilizzando la Modalità Esperto;Einige Änderungen im Experten-Mode durchgeführt;Some Expert Mode settings in use;Bazı değişiklikler uzman modunda gerçekleştirildi;Einige Änderungen im Experten-Mode durchgeführt;Some Expert Mode settings in use;Some Expert Mode settings in use
700065;Some settings only visible in Expert Mode have been changed. To edit these, select Expert Mode.;Einige Einstellungen, die nur im Experten-Modus sichtbar sind, wurden durchgeführt. <br /> Um diese zu ändern, wechseln Sie bitte zum Experten-Modus;Sadece uzman modunda görülebilen bazı ayarlar gerçekleştirildi. Bunları değiştirmek için lütfen uzman moduna geçiniz.;Some settings only visible in Expert Mode have been changed. To edit these, select Expert Mode.;Some settings only visible in Expert Mode have been changed. To edit these, select Expert Mode.;Algunos ajustes sólo visibles en el modo experto se han cambiado. Para editarlos, seleccione el modo experto.;Some settings only visible in Expert Mode have been changed. To edit these, select Expert Mode.;;Einige Einstellungen wurden durchgeführt, die nur im Experten-Modus sichtbar sind. Um diese zu ändern, wechseln Sie bitte zum Experten-Modus.;Some settings are only visible in the Expert Mode, which have been changed. To edit these, select Expert Mode.;Sadece uzman modunda görülebilen bazı ayarlar gerçekleştirildi. Bunları değiştirmek için lütfen uzman moduna geçiniz.;Einige Einstellungen wurden durchgeführt, die nur im Experten-Modus sichtbar sind. Um diese zu ändern, wechseln Sie bitte zum Experten-Modus.;Some settings are only visible in the Expert Mode, which have been changed. To edit these, select Expert Mode.;Some settings are only visible in the Expert Mode, which have been changed. To edit these, select Expert Mode.
700066;Don't Show Again;Nicht erneut zeigen;Tekrar gösterme;Don't Show Again;Don't Show Again;No volver a mostrar;Don't Show Again;;Nicht erneut zeigen;Don't Show Again;Tekrar gösterme;Nicht erneut zeigen;Don't Show Again;Don't Show Again
700067; %s1 cannot be empty.;%s1 darf nicht leer sein.;%s1 boş olamaz.; %s1 cannot be empty.;%s1 cannot be empty.;%s1 no puede estar vacío.; %s1 cannot be empty.;;%s1 darf nicht leer sein.; %s1 cannot be empty.;%s1 boş olamaz.;%s1 darf nicht leer sein.; %s1 cannot be empty.; %s1 cannot be empty.
700068; and ;und;ve; and ;and;y; and ;;und; and ;ve;und; and ; and 
700069; Value of %s1 must be numeric.;Wert von %s1 muss numerisch sein.;%s1 değeri nümerik olmak zorundadır.; Value of %s1 must be numeric.;Value of %s1 must be numeric.;Valor de %s1 debe ser numérico.; Value of %s1 must be numeric.;;Wert von %s1 muss numerisch sein.; Value of %s1 must be numeric.;%s1 değeri nümerik olmak zorundadır.;Wert von %s1 muss numerisch sein.; Value of %s1 must be numeric.; Value of %s1 must be numeric.
700070;#;#;#;#;#;#;#;;#;#;#;#;#;#
700071;%s day;%s Tag;%s gün;%s day;%s day;%s día;%s day;;%s Tag;%s day;%s gün;%s Tag;%s day;%s day
700072;%s days;%s Tage;%s gün;%s days;%s days;%s días;%s days;;%s Tage;%s days;%s gün;%s Tage;%s days;%s days
700073;%s hour;%s Stunde;%s saat;%s hour;%s hour;%s hora;%s hour;;%s Stunde;%s hour;%s saat;%s Stunde;%s hour;%s hour
700074;%s hours;%s Stunden;%s saat;%s hours;%s hours;%s horas;%s hours;;%s Stunden;%s hours;%s saat;%s Stunden;%s hours;%s hours
700075;%s minute;%s Minute;%s dakika;%s minute;%s minute;%s minutos;%s minute;;%s Minute;%s minute;%s dakika;%s Minute;%s minute;%s minute
700076;%s minutes;%s Minuten;%s dakika;%s minutes;%s minutes;%s minutos;%s minutes;;%s Minuten;%s minutes;%s dakika;%s Minuten;%s minutes;%s minutes
700077;%s1 cannot be empty.;%s1 darf nicht leer sein.;%s1 boş olamaz.;%s1 cannot be empty.;%s1 cannot be empty.;%s1 no puede estar vacío.;%s1 cannot be empty.;;%s1 darf nicht leer sein.;%s1 cannot be empty.;%s1 boş olamaz.;%s1 darf nicht leer sein.;%s1 cannot be empty.;%s1 cannot be empty.
700078;%s1 is invalid;%s1 ist ungültig;%s1 geçersizdir;%s1 is invalid;%s1 is invalid;%s1 no es válido;%s1 is invalid;;%s1 ist ungültig;%s1 is invalid;%s1 geçersizdir;%s1 ist ungültig;%s1 is invalid;%s1 is invalid
700079;%s1 must be a hexadecimal value.;%s1 muss ein hexadezimaler Wert sein.;%s1 heksadesimal değer olmak zorundadır.;%s1 must be a hexadecimal value.;%s1 must be a hexadecimal value.;%s1 debe ser un valor hexadecimal.;%s1 must be a hexadecimal value.;;%s1 muss ein hexadezimaler Wert sein.;%s1 must be a hexadecimal value.;%s1 heksadesimal değer olmak zorundadır.;%s1 muss ein hexadezimaler Wert sein.;%s1 must be a hexadecimal value.;%s1 must be a hexadecimal value.
700080;%s1 must contain ASCII characters only;%s1 darf nur ASCII Zeichen beinhalten;%s1 sadece ASCII karakterleri içerebilir;%s1 must contain ASCII characters only;%s1 must contain ASCII characters only;%s1 deben contener sólo caracteres ASCII;%s1 must contain ASCII characters only;;%s1 darf nur ASCII Zeichen beinhalten;%s1 must contain ASCII characters only;%s1 sadece ASCII karakterleri içerebilir;%s1 darf nur ASCII Zeichen beinhalten;%s1 must contain ASCII characters only;%s1 must contain ASCII characters only
700081;1 user logged in;1 Benutzer eingeloggt;1 bölüm sistemde;1 user logged in;1 user logged in;1 usuario conectado;1 user logged in;;1 Benutzer eingeloggt;1 user logged in;1 bölüm sistemde;1 Benutzer eingeloggt;1 user logged in;1 user logged in
700082;Abort;Abbruch;İptal;Abort;Abort;Abortar;Abort;;Abbruch;Abort;İptal;Abbruch;Abort;Abort
700083;At least one of the start or end ports should have value;Mindestens ein Start- oder End-Port muss einen Wert haben;En az bir Start veya bir End portun değeri olmak zorundadır;At least one of the start or end ports should have value;At least one of the start or end ports should have value;Al menos uno de los puertos de inicio o fin debe tener un valor;At least one of the start or end ports should have value;;Mindestens ein Start- oder End-Port muss einen Wert haben;At least one of the start or end ports should have value;En az bir Start veya bir End portun değeri olmak zorundadır;Mindestens ein Start- oder End-Port muss einen Wert haben;At least one of the start or end ports should have value;At least one of the start or end ports should have value
700084;Auto;Auto;Auto;Auto;Auto;Auto;Auto;;Auto;Auto;Auto;Auto;Auto;Auto
700085;Comments;Kommentare;Yorumlar;Comments;Comments;Comentarios;Comments;;Kommentare;Comments;Yorumlar;Kommentare;Comments;Comments
700086;Corrections needed;Korrektur erforderlich;Düzeltme gereklidir;Corrections needed;Corrections needed;Correcciones necesarias;Corrections needed;;Korrektur erforderlich;Corrections needed;Düzeltme gereklidir;Korrektur erforderlich;Corrections needed;Corrections needed
700087;Data is not available;Daten nicht verfügbar;Veriler mevcut değil;Data is not available;Data is not available;Los datos no están disponibles;Data is not available;;Daten nicht verfügbar;Data is not available;Veriler mevcut değil;Daten nicht verfügbar;Data is not available;Data is not available
700088;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Alemán;Deutsch;;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch;Deutsch
700089;English;English;English;English;English;Inglés;English;;English;English;English;English;English;English
700090;Error;Fehler;Hata;Error;Error;Error;Error;;Fehler;Error;Hata;Fehler;Error;Error
700091;Error Message;Fehlermeldung;Hata mesajı;Error Message;Error Message;Mensaje de error;Error Message;;Fehlermeldung;Error Message;Hata mesajı;Fehlermeldung;Error Message;Error Message
700092;Folder Name;Ordnername;Klasör adı;Folder Name;Folder Name;Nombre de la carpeta;Folder Name;;Ordnername;Folder Name;Klasör adı;Ordnername;Folder Name;Folder Name
700093;Gateway timeout;Gateway Zeitüberschreitung;Gateway zaman aşımı;Gateway timeout;Gateway timeout;Gateway timeout;Gateway timeout;;Gateway Zeitüberschreitung;Gateway timeout;Gateway zaman aşımı;Gateway Zeitüberschreitung;Gateway timeout;Gateway timeout
700094;Gateway Unreachable;Gateway nicht erreichbar;Gateway erişilemiyor;Gateway Unreachable;Gateway Unreachable;Gateway inalcanzable;Gateway Unreachable;;Gateway nicht erreichbar;Gateway Unreachable;Gateway erişilemiyor;Gateway nicht erreichbar;Gateway Unreachable;Gateway Unreachable
700095;Guest WiFi is disabled;Gast W-LAN ist deaktiviert;Misafir WLAN devre dışı;Guest WiFi is disabled;Guest WiFi is disabled;La red WiFi de invitados está desactivada;Guest WiFi is disabled;;Gast WLAN ist deaktiviert;Guest WiFi is disabled;Misafir WLAN devre dışı;Gast WLAN ist deaktiviert;Guest WiFi is disabled;Guest WiFi is disabled
700096;Incorrect password. Please try again.;Falsches Kennwort. Bitte wiederholen;Yanlış şifre. Lütfen tekrarlayınız.;Incorrect password. Please try again.;Incorrect password. Please try again.;Contraseña incorrecta. Por favor, inténtelo de nuevo.;Incorrect password. Please try again.;;Falsches Kennwort. Bitte wiederholen;Incorrect password. Please try again.;Yanlış şifre. Lütfen tekrarlayınız.;Falsches Kennwort. Bitte wiederholen;Incorrect password. Please try again.;Incorrect password. Please try again.
700097;Info Message;Info-Meldung;Bilgi mesajı;Info Message;Info Message;Mensaje de información;Info Message;;Info-Meldung;Info Message;Bilgi mesajı;Info-Meldung;Info Message;Info Message
700098;Invalid IP Address;Ungültige IP-Adresse;Geçersiz IP adresi;Invalid IP Address;Invalid IP Address;Dirección IP no válida;Invalid IP Address;;Ungültige IP-Adresse;Invalid IP Address;Geçersiz IP adresi;Ungültige IP-Adresse;Invalid IP Address;Invalid IP Address
700099;Invalid MAC Address. Either not all HEX digits were entered or some of the HEX digits are invalid. A HEX digit can be a number from 0-9 or a letter from A-F.;Ungültige MAC-Adresse. Entweder wurden nicht alle Hexadezimalstellen eingegeben oder sind ungültig. Eine Hexadezimalstelle kann eine Zahl von 0-9 oder ein Buchstabe von A-F sein.;Geçersiz MAC adresi. Heksadesimal sayıların tümü girilmedi veya geçersiz. Bir heksadesimal hanede 0-9 arasında olan bir rakam veya A-F arasında bir harf olabilir.;Invalid MAC Address. Either not all HEX digits were entered or some of the HEX digits are invalid. A HEX digit can be a number from 0-9 or a letter from A-F.;Invalid MAC Address. Either not all HEX digits were entered or some of the HEX digits are invalid. A HEX digit can be a number from 0-9 or a letter from A-F.;Dirección MAC no válida. O bien no todos los dígitos HEX se introdujeron o algunos de los dígitos HEX no son válidos. Un dígito hexadecimal puede ser un número de 0 a 9, o una letra de A a F.;Invalid MAC Address. Either not all HEX digits were entered or some of the HEX digits are invalid. A HEX digit can be a number from 0-9 or a letter from A-F.;;Ungültige MAC-Adresse. Entweder wurden nicht alle Hexadezimalstellen eingegeben oder sind ungültig. Eine Hexadezimalstelle kann eine Zahl von 0-9 oder ein Buchstabe von A-F sein.;Invalid MAC Address. Either not all HEX digits were entered or some of the HEX digits are invalid. A HEX digit can be a number from 0-9 or a letter from A-F.;Geçersiz MAC adresi. Heksadesimal sayıların tümü girilmedi veya geçersiz. Bir heksadesimal hanede 0-9 arasında olan bir rakam veya A-F arasında bir harf olabilir.;Ungültige MAC-Adresse. Entweder wurden nicht alle Hexadezimalstellen eingegeben oder sind ungültig. Eine Hexadezimalstelle kann eine Zahl von 0-9 oder ein Buchstabe von A-F sein.;Invalid MAC Address. Either not all HEX digits were entered or some of the HEX digits are invalid. A HEX digit can be a number from 0-9 or a letter from A-F.;Invalid MAC Address. Either not all HEX digits were entered or some of the HEX digits are invalid. A HEX digit can be a number from 0-9 or a letter from A-F.
700100;Invalid Number;Ungültige Nummer;Geçersiz numara;Invalid Number;Invalid Number;Número no válido;Invalid Number;;Ungültige Nummer;Invalid Number;Geçersiz numara;Ungültige Nummer;Invalid Number;Invalid Number
700101;Invalid port range;Ungültiger Port-Bereich;Geçersiz port aralığı;Invalid port range;Invalid port range;Rango de puertos no válido;Invalid port range;;Ungültiger Port-Bereich;Invalid port range;Geçersiz port aralığı;Ungültiger Port-Bereich;Invalid port range;Invalid port range
700102;Invalid time format, time format is HH:MM.;Ungültiges Zeitformat, Zeit muss im Format HH:MM eingetragen werden ;Geçersiz zaman formatı, zaman HH:MM formatında girilmelidir ;Invalid time format, time format is HH:MM.;Invalid time format, time format is HH:MM.;El formato de hora no es válido. Use el formato HH:MM.;Invalid time format, time format is HH:MM.;;Ungültiges Zeitformat, Zeit muss im Format HH:MM eingetragen werden ;Invalid time format, time format is HH:MM.;Geçersiz zaman formatı, zaman HH:MM formatında girilmelidir ;Ungültiges Zeitformat, Zeit muss im Format HH:MM eingetragen werden ;Invalid time format, time format is HH:MM.;Invalid time format, time format is HH:MM.
