ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
401030;Please change the protection mode to another value in order to use WPS. ;Bitte wechseln Sie den Sicherheitsmodus, um WPS nutzen zu können;WPS kullanmak için güvenlik modunu lütfen değiştirin.;Please change the protection mode to another value in order to use WPS. ;Please change the protection mode to another value in order to use WPS.;Cambie el modo de protección con el fin de utilizar WPS.;Please change the protection mode to another value in order to use WPS. ;;Bitte wechseln Sie den Sicherheitsmodus, um WPS nutzen zu können;Please change the protection mode to another value in order to use WPS. ;WPS kullanmak için güvenlik modunu lütfen değiştirin.;Bitte wechseln Sie den Sicherheitsmodus, um WPS nutzen zu können;Please change the protection mode to another value in order to use WPS. ;Please change the protection mode to another value in order to use WPS. 
401031;Unlimited;unbegrenzt;Sınırsız;Unlimited;Unlimited;Ilimitado;Unlimited;;unbegrenzt;Unlimited;Sınırsız;unbegrenzt;Unlimited;Unlimited
401032;Please change the Protection Mode to another value in order to use WPS.;Bitte wechseln Sie den Sicherheitsmodus, um WPS nutzen zu können;WPS kullanmak için güvenlik modunu lütfen değiştirin.;Please change the Protection Mode to another value in order to use WPS.;Please change the Protection Mode to another value in order to use WPS.;Cambie el modo de protección con el fin de utilizar WPS.;Please change the Protection Mode to another value in order to use WPS.;;Bitte wechseln Sie den Sicherheitsstandard, um WPS nutzen zu können.;Please change the WiFi protection mode to another value in order to use WPS.;WPS kullanmak için güvenlik modunu lütfen değiştirin.;Bitte wechseln Sie den Sicherheitsstandard, um WPS nutzen zu können.;Please change the WiFi protection mode to another value in order to use WPS.;Please change the WiFi protection mode to another value in order to use WPS.
401033;You are using forbidden characters.;Sie verwenden unerlaubte Zeichen.;Izinsiz karakterler kullanıyorsunuz;You are using forbidden characters.;You are using forbidden characters.;Está utilizando caracteres prohibidos.;You are using forbidden characters.;;Die SSID enhtält ungültige Zeichen.;The SSID contains invalid characters.;Izinsiz karakterler kullanıyorsunuz;Die SSID enhtält ungültige Zeichen.;The SSID contains invalid characters.;The SSID contains invalid characters.
401034;5 or 13 ASCII characters;5 oder 13 ASCII-Zeichen;5 veya 13 ASCII-karakter;5 or 13 ASCII characters;5 or 13 ASCII characters;5 ó 13 caracteres ASCII;5 or 13 ASCII characters;;5 oder 13 ASCII-Zeichen;5 or 13 ASCII characters;5 veya 13 ASCII-karakter;5 oder 13 ASCII-Zeichen;5 or 13 ASCII characters;5 or 13 ASCII characters
401035;8+ characters;mindestens 8 Zeichen;En az 8 karakter;8+ characters;8+ characters;8 o más caracteres;8+ characters;;mindestens 8 Zeichen;at least 8 characters;En az 8 karakter;mindestens 8 Zeichen;at least 8 characters;at least 8 characters
401036;You're attempting to change certain options which shall cause the currently connected devices to be disconnected. These devices will not be able to reconnect automatically.;Sie versuchen bestimmte Optionen zu ändern, die bewirken, dass die derzeit angeschlossenen Geräte getrennt werden. Diese Geräte werden sich nicht mehr automatisch verbinden.;Bu ayarları değiştirirseniz, bagli olan cihazlar ayirilacaktir. Bu cihazlar otomatik bağlantı kurması mümkün olmayacaktır.;You're attempting to change certain options which shall cause the currently connected devices to be disconnected. These devices will not be able to reconnect automatically.;You're attempting to change certain options which shall cause the currently connected devices to be disconnected. These devices will not be able to reconnect automatically.;Usted está tratando de cambiar ciertas opciones que hará que los dispositivos conectados actualmente se desconecten. Estos dispositivos no serán capaces de volver a conectar automáticamente.;You're attempting to change certain options which shall cause the currently connected devices to be disconnected. These devices will not be able to reconnect automatically.;;Sie versuchen bestimmte Optionen zu ändern, die bewirken, dass die derzeit angeschlossenen Geräte getrennt werden. Diese Geräte werden sich nicht mehr automatisch verbinden.;You're attempting to change certain options which will cause the currently connected devices to be disconnected. These devices will not be able to reconnect automatically.;Bu ayarları değiştirirseniz, bagli olan cihazlar ayirilacaktir. Bu cihazlar otomatik bağlantı kurması mümkün olmayacaktır.;Sie versuchen bestimmte Optionen zu ändern, die bewirken, dass die derzeit angeschlossenen Geräte getrennt werden. Diese Geräte werden sich nicht mehr automatisch verbinden.;You're attempting to change certain options which will cause the currently connected devices to be disconnected. These devices will not be able to reconnect automatically.;You're attempting to change certain options which will cause the currently connected devices to be disconnected. These devices will not be able to reconnect automatically.
401037;WEP is incompatible with 802.11n WiFi mode. Please select another WiFi protection mode.;WEP ist nicht kompatibel mit 802.11n W-LAN Mode. Bitte wählen Sie eine andere W-LAN Verschlüsselungsmethode.;WEP 802.11n ile uyumlu değildir. Farklı bir WiFi şifreleme yöntemini seçiniz.;WEP is incompatible with 802.11n WiFi mode. Please select another WiFi protection mode.;WEP is incompatible with 802.11n WiFi mode. Please select another WiFi protection mode.;WEP es incompatible con el modo Wi-Fi 802.11n. Seleccione otro modo de protección WiFi.;WEP is incompatible with 802.11n WiFi mode. Please select another WiFi protection mode.;;WEP ist nicht kompatibel mit dem WLAN Modus 802.11n. Bitte wählen Sie einen anderen Sicherheitsstandard.;WEP is incompatible with 802.11n WiFi mode. Please select another WiFi protection mode.;WEP 802.11n ile uyumlu değildir. Farklı bir WiFi şifreleme yöntemini seçiniz.;WEP ist nicht kompatibel mit dem WLAN Modus 802.11n. Bitte wählen Sie einen anderen Sicherheitsstandard.;WEP is incompatible with 802.11n WiFi mode. Please select another WiFi protection mode.;WEP is incompatible with 802.11n WiFi mode. Please select another WiFi protection mode.
401038;WEP is incompatible with Mixed 802.11g/n WiFi mode. This configuration may reduce your WiFi speed.;WEP ist nicht kompatibel mit Mixed 802.11 g/n W-LAN Mode. Diese Einstellung reduziert Ihre W-LAN Geschwindigkeit.;"WEP 802.11g/n ile uyumlu değildir. Bu ayar, 
WiFi hızını azaltır.";WEP is incompatible with Mixed 802.11g/n WiFi mode. This configuration may reduce your WiFi speed.;WEP is incompatible with Mixed 802.11g/n WiFi mode. This configuration may reduce your WiFi speed.;WEP es incompatible con el modo Mixed 802.11g/n. Esta configuración puede reducir la velocidad de WiFi.;WEP is incompatible with Mixed 802.11g/n WiFi mode. This configuration may reduce your WiFi speed.;;WEP ist nicht kompatibel mit dem WLAN Modus Mixed 802.11 g/n. Diese Einstellung reduziert Ihre WLAN Geschwindigkeit.;WEP is incompatible with Mixed 802.11g/n WiFi mode. This configuration may reduce your WiFi speed.;"WEP 802.11g/n ile uyumlu değildir. Bu ayar, 
WiFi hızını azaltır.";WEP ist nicht kompatibel mit dem WLAN Modus Mixed 802.11 g/n. Diese Einstellung reduziert Ihre WLAN Geschwindigkeit.;WEP is incompatible with Mixed 802.11g/n WiFi mode. This configuration may reduce your WiFi speed.;WEP is incompatible with Mixed 802.11g/n WiFi mode. This configuration may reduce your WiFi speed.
401039; WEP is incompatible with Mixed 802.11b/g/n WiFi mode. This configuration may reduce your WiFi speed.;WEP ist nicht kompatibel mit Mixed 802.11 b/g/n W-LAN Mode. Diese Einstellung reduziert Ihre W-LAN Geschwindigkeit.;"WEP 802.11b/g/n ile uyumlu değildir. Bu ayar, 
WiFi hızını azaltır."; WEP is incompatible with Mixed 802.11b/g/n WiFi mode. This configuration may reduce your WiFi speed.;WEP is incompatible with Mixed 802.11b/g/n WiFi mode. This configuration may reduce your WiFi speed.;WEP es incompatible con el modo Mixed 802.11b/g/n. Esta configuración puede reducir la velocidad de WiFi.; WEP is incompatible with Mixed 802.11b/g/n WiFi mode. This configuration may reduce your WiFi speed.;;WEP ist nicht kompatibel mit dem WLAN Modus Mixed 802.11 b/g/n. Diese Einstellung reduziert Ihre WLAN Geschwindigkeit.; WEP is incompatible with Mixed 802.11b/g/n WiFi mode. This configuration may reduce your WiFi speed.;"WEP 802.11b/g/n ile uyumlu değildir. Bu ayar, 
WiFi hızını azaltır.";WEP ist nicht kompatibel mit dem WLAN Modus Mixed 802.11 b/g/n. Diese Einstellung reduziert Ihre WLAN Geschwindigkeit.; WEP is incompatible with Mixed 802.11b/g/n WiFi mode. This configuration may reduce your WiFi speed.; WEP is incompatible with Mixed 802.11b/g/n WiFi mode. This configuration may reduce your WiFi speed.
401040;network key;Netzwerkschlüssel;WiFi şifresi;network key;network key;clave de red;network key;;WLAN-Kennwort;network key;WiFi şifresi;WLAN-Kennwort;network key;network key
401041;Notify on EasyBox display when devices connect to the network;Hinweis auf dem Display, wenn sich ein Gerät mit dem Netzwerk verbindet;WiFi ağına bağlanan cihazları ekranda bildir;Notify on LCD when devices connect to the network;Notify on LCD when devices connect to the network;Notificar cuando los dispositivos se conectan a la red;Notify on LCD when devices connect to the network;;Hinweis auf dem Display, wenn sich ein Gerät mit dem Netzwerk verbindet;Notify on EasyBox display when devices connect to the network;WiFi ağına bağlanan cihazları ekranda bildir;Hinweis auf dem Display, wenn sich ein Gerät mit dem Netzwerk verbindet;Notify on EasyBox display when devices connect to the network;Notify on PlusBox display when devices connect to the network
401042;64 bit;64 bit;64 bit;64 bit;64 bit;64 bit;64 bit;;64 bit;64 bit;64 bit;64 bit;64 bit;64 bit
401043;128 bit;128 bit;128 bit;128 bit;128 bit;128 bit;128 bit;;128 bit;128 bit;128 bit;128 bit;128 bit;128 bit
401044;HEX;HEX;HEX;HEX;HEX;HEX;HEX;;HEX;HEX;HEX;HEX;HEX;HEX
401045;ASCII;ASCII;ASCII;ASCII;ASCII;ASCII;ASCII;;ASCII;ASCII;ASCII;ASCII;ASCII;ASCII
401046;Key 1;Key 1;Key 1;Key 1;Key 1;Key 1;Key 1;;Key 1;Key 1;Key 1;Key 1;Key 1;Key 1
401047;Key 2;Key 2;Key 2;Key 2;Key 2;Key 2;Key 2;;Key 2;Key 2;Key 2;Key 2;Key 2;Key 2
401048;Key 3;Key 3;Key 3;Key 3;Key 3;Key 3;Key 3;;Key 3;Key 3;Key 3;Key 3;Key 3;Key 3
401049;Key 4;Key 4;Key 4;Key 4;Key 4;Key 4;Key 4;;Key 4;Key 4;Key 4;Key 4;Key 4;Key 4
401050;Default Key ID;Default Key ID;Default Key ID;Default Key ID;Default Key ID;Default Key ID;Default Key ID;;Default Key ID;Default Key ID;Default Key ID;Default Key ID;Default Key ID;Default Key ID
401051;Passphrase;Passphrase;Passphrase;Passphrase;Passphrase;Passphrase;Passphrase;;Passphrase;Passphrase;Passphrase;Passphrase;Passphrase;Passphrase
401052;WEP Mode;WEP Mode;WEP Mode;WEP Mode;WEP Mode;Modo WEP;WEP Mode;;WEP Mode;WEP Mode;WEP Mode;WEP Mode;WEP Mode;WEP Mode
401053;Network key longer than 20 characters will not appear on the EasyBox display.;;Ağ anahtarı 20 karakterden uzun, EasyBox´un ekranında görünmez;Network key longer than 20 characters will not appear on the EasyBox display.;NA;NA;Network key longer than 20 characters will not appear on the EasyBox display.;;NA;Network key longer than 20 characters will not appear on the EasyBox display.;NA;NA;Network key longer than 20 characters will not appear on the EasyBox display.;Network key longer than 20 characters will not appear on the PlusBox display.
401054;NA;NA;NA;NA;NA;NA;Split WiFi based on frequencies;;NA;NA;NA;NA;NA;Low
401055;NA;NA;NA;NA;NA;NA;WiFi 2.4GHz;;NA;NA;NA;NA;NA;NA
401056;NA;NA;NA;NA;NA;NA;Your EasyBox supports the industry-wide WLAN standards with transmission rates up to 300 Mbit/s (802.11b/g/n), enabling easy wireless connection of your devices.;;NA;NA;NA;NA;NA;NA
401057;;;;To be defined;;;;;;;;;;
401058;NA;NA;NA;NA;Channel;Canal;;;NA;NA;NA;NA;NA;NA
401059;NA;NA;NA;NA;Bandwidth;Bandwidth;;;NA;NA;NA;NA;NA;NA
401060;NA;NA;NA;NA;NA;NA;NA;NA;Aus Sicherheitsgründen wird empfohlen eine andere Verschlüsselungsart zu verwenden.;For security reasons it is highly recommended to select a different WiFi protection mode.;Güvenlik nedenlerinden dolayı oldukça farklı bir WiFi koruma modunu seçmek için tavsiye edilir.;Aus Sicherheitsgründen wird empfohlen eine andere Verschlüsselungsart zu verwenden.;For security reasons it is highly recommended to select a different WiFi protection mode.;For security reasons it is highly recommended to select a different WiFi protection mode.
401061;NA;NA;NA;NA;NA;NA;NA;NA;WEP ist nicht kompatibel mit dem WLAN Modus Mixed 802.11 a/n. Diese Einstellung reduziert Ihre WLAN Geschwindigkeit.;WEP is incompatible with Mixed 802.11a/n WiFi mode. This configuration may reduce your WiFi speed.;WEP uygulaması WiFi Mixed 802.11a/n modunla uyumlu değildir. Kurmuş olduğunuz WiFi ayarı WiFi hizini azaltacaktır.;NA;NA;WEP is incompatible with Mixed 802.11a/n WiFi mode. This configuration may reduce your WiFi speed.
401062;NA;NA;NA;NA;NA;NA;NA;NA;WEP ist nicht kompatibel mit dem WLAN Modus Mixed 802.11 ac. Diese Einstellung reduziert Ihre WLAN Geschwindigkeit.;WEP is incompatible with 802.11ac WiFi mode. This configuration may reduce your WiFi speed.;WEP uygulaması WiFi Mixed 802.11ac modunla uyumlu değildir. Kurmuş olduğunuz WiFi ayarı WiFi hizini azaltacaktır.;NA;NA;WEP is incompatible with 802.11ac WiFi mode. This configuration may reduce your WiFi speed.
401063;NA;NA;NA;NA;NA;NA;NA;NA;Der WLAN Modus Mixed 802.11 a/n ist inkompatibel mit WEP. Diese Einstellung reduziert Ihre WLAN Geschwindigkeit.;Mixed 802.11a/n is incompatible with WEP protection. This configuration may reduce your WiFi speed.;"WiFi modu ""Mixed 802.11 a/n"" ""WEP"" moduyla uyumlu degildir. Kurmuş olduğunuz WiFi ayarı WiFi hizini azaltacaktır.";NA;NA;Mixed 802.11a/n is incompatible with WEP protection. This configuration may reduce your WiFi speed.
401064;NA;NA;NA;NA;NA;NA;NA;NA;Key;Key;Anahtar;NA;NA;Key
402001;Schedule;Zeitplan;Zamanlamak;Schedule;Schedule;Programar;Schedule;;Zeitplan;Schedule;Zamanlamak;Zeitplan;Schedule;Schedule
402002;Schedule the times when you want the WiFi of your EasyBox to be turned on or off. When the WiFi is turned off, the main and guest WiFi are disabled. When it is turned back on, you return to your chosen WiFi settings.;Die EasyBox bietet Ihnen die Möglichkeit, das W-LAN zu bestimmten Zeiten ein- oder auszuschalten. Den  Zeitplan können Sie hier konfigurieren.<br>Wenn W-LAN ausgeschaltet ist, dann ist auch das Gast W-LAN ausgeschaltet.;"WiFi belirli zamanlarda otomatik açıp kapama seçeneği sunuyor. 
Burada zamanlamayı yapılandırabilirsiniz. WiFi kapalıysa, Misafir WiFi´da kapalır.";Schedule the times when you want the WiFi of your EasyBox to be turned on or off. When the WiFi is turned off, the main and guest WiFi are disabled. When it is turned back on, you return to your chosen WiFi settings.;Schedule the times when you want the WiFi of your router to be turned on or off. When it is turned back on, you return to your chosen WiFi settings.;Programe cuando desea que el WiFi de su router esté encendido o apagado. Cuando se vuelva a encender, volverá a la configuración WiFi elegida.;Schedule the times when you want the WiFi of your EasyBox to be turned on or off. When the WiFi is turned off, the main and guest WiFi are disabled. When it is turned back on, you return to your chosen WiFi settings.;;Die EasyBox bietet Ihnen die Möglichkeit, das WLAN zu bestimmten Zeiten ein- oder auszuschalten. Den Zeitplan können Sie hier konfigurieren. Hinweis: Wenn WLAN ausgeschaltet ist, dann ist auch das Gast WLAN ausgeschaltet.;Schedule the times when your WiFi should be turned on or off automatically. Note: If WiFi is turned off, both Main and Guest WiFi are disabled;"WiFi belirli zamanlarda otomatik açıp kapama seçeneği sunuyor. 
Burada zamanlamayı yapılandırabilirsiniz. WiFi kapalıysa, Misafir WiFi´da kapalır.";"Die EasyBox bietet Ihnen die Möglichkeit, das WLAN zu bestimmten Zeiten ein- oder auszuschalten. Den Zeitplan können Sie hier konfigurieren.
Hinweis: Wenn WLAN ausgeschaltet ist, dann ist auch das Gast WLAN ausgeschaltet.";Schedule the times when your WiFi should be turned on or off automatically. Note: If WiFi is turned off, both Main and Guest WiFi are disabled;Schedule the times when your WiFi should be turned on or off automatically. Note: If WiFi is turned off, both Main and Guest WiFi are disabled
402003;Schedule Function;Zeitplan-Funktion;Zamanlayıcı fonksiyonu;Schedule Function;Schedule Function;Función de programación;Schedule Function;;Zeitplan-Funktion;Schedule Function;Zamanlayıcı fonksiyonu;Zeitplan-Funktion;Schedule Function;Schedule Function
402004;Timeframe;Wiederholungsrate;Tekrarlama oranı;Timeframe;Timeframe;Periodo de tiempo;Timeframe;;Wiederholungsrate;Time Frame;Tekrarlama oranı;Wiederholungsrate;Time Frame;Time Frame
402005;During this time the WiFi is;Während dieser Zeit ist W-LAN;Şu süre içinde WiFi ağı;During this time the WiFi is;During this time the WiFi is;Durante este tiempo, el WiFi está;During this time the WiFi is;;Während dieser Zeit ist WLAN;During this time the WiFi is;Şu süre içinde WiFi ağı;Während dieser Zeit ist WLAN;During this time the WiFi is;During this time the WiFi is
402006;Time;Uhrzeit;Süre;Time;Time;Hora;Time;;Uhrzeit;Time;Süre;Uhrzeit;Time;Time
402007;From;Von;Başlangıç;From;From;Desde;From;;von;from;Başlangıç;von;from;from
402008;To;Bis;Bitiş;To;To;Hasta;To;;bis;to;Bitiş;bis;to;to
402009;Day;Tag;Gün;Day;Day;Día;Day;;Tag;Day;Gün;Tag;Day;Day
402010;WiFi;W-LAN;WiFi;WiFi;WiFi;WiFi;WiFi;;WLAN;WiFi;WiFi;WLAN;WiFi;WiFi
