ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
201034;NA;NA;NA;NA;source IP;IP origen;NA;;NA;NA;NA;NA;NA;NA
201035;NA;NA;NA;NA;destination IP;IP destino;NA;;NA;NA;NA;NA;NA;NA
201036;NA;NA;NA;NA;pkt stats;Estadísticas de paquetes;NA;;NA;NA;NA;NA;NA;NA
201037;NA;NA;NA;NA;sent;enviado;NA;;NA;NA;NA;NA;NA;NA
201038;NA;NA;NA;NA;received;recibido;NA;;NA;NA;NA;NA;NA;NA
201039;NA;NA;NA;NA;lost;perdido;NA;;NA;NA;NA;NA;NA;NA
201040;NA;NA;NA;NA;Details;Detalles;NA;;NA;NA;NA;NA;NA;NA
201041;NA;NA;NA;NA;Send my phone number;Enviar mi número de teléfono;NA;;NA;NA;NA;NA;NA;NA
201042;NA;NA;NA;NA;Three-way-calling;Llamada a tres;NA;;NA;NA;NA;NA;NA;NA
201043;NA;NA;NA;NA;Call Hold;Retención de llamadas;NA;;NA;NA;NA;NA;NA;NA
201044;NA;NA;NA;NA;Automatic call;Llamada automática;NA;;NA;NA;NA;NA;NA;NA
201045;NA;NA;NA;NA;Call Transfer;Transferencia de llamadas;NA;;NA;NA;NA;NA;NA;NA
201046;NA;NA;NA;NA;Display incoming call phone number;Mostrar número llamante;NA;;NA;NA;NA;NA;NA;NA
201047;NA;NA;NA;NA;IMS Server Settings;Configuración Servidor IMS;NA;;NA;NA;NA;NA;NA;NA
201048;NA;NA;NA;NA;SIP Primary Registrar Address;SIP Registrar Primario;NA;;NA;NA;NA;NA;NA;NA
201049;NA;NA;NA;NA;SIP Primary Proxy Server Address;SIP Proxy Primario;NA;;NA;NA;NA;NA;NA;NA
201050;NA;NA;NA;NA;SIP Primary Outbound Proxy;SIP Outbound proxy Primario;NA;;NA;NA;NA;NA;NA;NA
201051;NA;NA;NA;NA;SIP Secondary Registrar Address;SIP Registrar Secundario;NA;;NA;NA;NA;NA;NA;NA
201052;NA;NA;NA;NA;SIP Secondary Proxy Server Address;SIP Proxy Secundario;NA;;NA;NA;NA;NA;NA;NA
201053;NA;NA;NA;NA;SIP Secondary Outbound Proxy;SIP Outbound proxy Secundario;NA;;NA;NA;NA;NA;NA;NA
201054;NA;NA;NA;NA;User Account Settings;Ajustes de cuenta de usuario;NA;;NA;NA;NA;NA;NA;NA
201055;NA;NA;NA;NA;Username;Username;NA;;NA;NA;NA;NA;NA;NA
201056;NA;NA;NA;NA;Auth Name;Auth Name;NA;;NA;NA;NA;NA;NA;NA
201057;NA;NA;NA;NA;Password;Password;NA;;NA;NA;NA;NA;NA;NA
201058;NA;NA;NA;NA;Voice Dial Plan;Dial plan;NA;;NA;NA;NA;NA;NA;NA
201059;NA;NA;NA;NA;VoIP Dial plan Settings;Configuración del dial plan;NA;;NA;NA;NA;NA;NA;NA
201060;NA;NA;NA;NA;VoIP Dial Timeout (ms);Dial Timeout (ms);NA;;NA;NA;NA;NA;NA;NA
201061;NA;NA;NA;NA;First Digit Timeout (ms);Tiempo de espera del primer dígito (ms);NA;;NA;NA;NA;NA;NA;NA
201062;NA;NA;NA;NA;Min-hook-flash (ms);Min-hook-flash (ms);NA;;NA;NA;NA;NA;NA;NA
201063;NA;NA;NA;NA;Max-hook-flash (ms);Max-hook-flash (ms);NA;;NA;NA;NA;NA;NA;NA
201064;NA;NA;NA;NA;Voice Audio Codec;Audio Codec;NA;;NA;NA;NA;NA;NA;NA
201065;NA;NA;NA;NA;Packetization;Paquetización;NA;;NA;NA;NA;NA;NA;NA
201066;NA;NA;NA;NA;Preferred codec;Prioridad de codec;NA;;NA;NA;NA;NA;NA;NA
201067;NA;NA;NA;NA;T.38;T.38;NA;;NA;NA;NA;NA;NA;NA
201068;NA;NA;NA;NA;Other Settings;Otros ajustes;NA;;NA;NA;NA;NA;NA;NA
201069;NA;NA;NA;NA;Voice Re-injection Settings;Configuración de reinyección de voz;NA;;NA;NA;NA;NA;NA;NA
201070;NA;NA;NA;NA;Location;Ubicación;NA;;NA;NA;NA;NA;NA;NA
201071;NA;NA;NA;NA;Echo Cancellation;Cancelación de Eco;NA;;NA;NA;NA;NA;NA;NA
201072;NA;NA;NA;NA;Comfort Noise;Comfort Noise;NA;;NA;NA;NA;NA;NA;NA
201073;NA;NA;NA;NA;VAD support;Soporte VAD;NA;;NA;NA;NA;NA;NA;NA
201074;NA;NA;NA;NA;Ingress gain (dB);Ganancia de entrada (dB);NA;;NA;NA;NA;NA;NA;NA
201075;NA;NA;NA;NA;Egress gain (dB);Ganancia de salida (dB);NA;;NA;NA;NA;NA;NA;NA
201076;NA;NA;NA;NA;FAX detection;Detección de FAX;NA;;NA;NA;NA;NA;NA;NA
201077;NA;NA;NA;NA;DSCP for RTP;DSCP de RTP;NA;;NA;NA;NA;NA;NA;NA
201078;NA;NA;NA;NA;Local Rtp Max port;Puerto Máximo RTP Local;NA;;NA;NA;NA;NA;NA;NA
201079;NA;NA;NA;NA;Local Rtp Min port;Puerto Mínimo RTP Local;NA;;NA;NA;NA;NA;NA;NA
201080;NA;NA;NA;NA;RTCP packet interval (ms);Intervalo de paquetes RTCP (ms);NA;;NA;NA;NA;NA;NA;NA
201081;NA;NA;NA;NA;DTMF Mode;Modo DTMF;NA;;NA;NA;NA;NA;NA;NA
201082;NA;NA;NA;NA;DTMF Payload Type;DTMF Payload Type;NA;;NA;NA;NA;NA;NA;NA
201083;NA;NA;NA;NA;RTCP monitor;Control RTCP;NA;;NA;NA;NA;NA;NA;NA
201084;NA;NA;NA;NA;Registration Expire Timeout (s);Registration Expire Timeout (s);NA;;NA;NA;NA;NA;NA;NA
201085;NA;NA;NA;NA;Registration Retry Interval (s);Registration Retry Interval (s);NA;;NA;NA;NA;NA;NA;NA
201086;NA;NA;NA;NA;Session Timer Expires (s);Session Timer Expires (s);NA;;NA;NA;NA;NA;NA;NA
201087;NA;NA;NA;NA;Session Timer Min-SE (s);Session Timer Min-SE (s);NA;;NA;NA;NA;NA;NA;NA
201088;NA;NA;NA;NA;Prack;Prack;NA;;NA;NA;NA;NA;NA;NA
201089;NA;NA;NA;NA;Phone Number;Num. de teléfono;NA;;NA;NA;NA;NA;NA;NA
201090;NA;NA;NA;NA;Interface Name;Interfaz;NA;;NA;NA;NA;NA;NA;NA
201091;NA;NA;NA;NA;Expiration Duration ;Tiempo de expiración;NA;;NA;NA;NA;NA;NA;NA
201092;NA;NA;NA;NA;Session Expires ;La sesión expira en;NA;;NA;NA;NA;NA;NA;NA
201093;NA;NA;NA;NA;User Agent Domain ;User Agent Domain;NA;;NA;NA;NA;NA;NA;NA
201094;NA;NA;NA;NA;Caller ID Name ;Caller ID;NA;;NA;NA;NA;NA;NA;NA
201095;NA;NA;NA;NA;MWI;MWI;NA;;NA;NA;NA;NA;NA;NA
201096;NA;NA;NA;NA;Primary Proxy Retry Interval (s);Primary Proxy Retry Interval (s);NA;;NA;NA;NA;NA;NA;NA
201097;NA;NA;NA;NA;Line;Línea;NA;;NA;NA;NA;NA;NA;NA
201098;NA;NA;NA;NA;active;activa;NA;NA;NA;NA;NA;NA;NA;NA
201099;NA;NA;NA;NA;Signalling DSCP;DSCP de señalización;NA;NA;NA;NA;NA;NA;NA;NA
201100;Number;Nummer;Numara;;NA;NA;NA;NA;Nummer;Number;Numara;Nummer;Number;Number
201101;NA;NA;NA;NA;State;;NA;NA;NA;NA;NA;NA;NA;NA
202001;Contacts;Kontakte;Kişiler;Contacts;Contacts;Contactos;Contacts;Contatti;Kontakte;Contacts;Kişiler;Kontakte;Contacts;Contacts
202002;Using the letter bar you can easily scroll through your contact list and view or edit a phone contact. The numbers you have registered here as contacts will be displayed with contact name and number on the LCD screen.<br><br>You can save your entire contact list as txt file onto your PC and upload a txt file into your EasyBox at any time. ;Durch Anklicken des ersten Buchstabens in der Leiste links können Sie schneller Ihren Kontakt auswählen oder bearbeiten. Die hier eingetragenen Kontakte werden auf der LCD Anzeige der EasyBox mit Name und Telefonnummer dargestellt. <br><br>Sie können Ihre gesamte Kontaktliste als txt-Datei auf Ihrem PC sichern, sowie eine txt-Datei vom PC auf die EasyBox übertragen.;Birinci harfi tiklayarak kisiyi daha hizli seçebilir veya düzenleyebilirsiniz. Burada kayitli olan kisiler EasyBox cihazinin ekraninda isim ve telefon numarasi bilgileri ile gösterilir. Kisilerin kayitli oldugu tüm listenizi txt-dosyasi olarak bilgisarayiniza kaydedebilir ve biligsaray'dan EasyBox cihazina bir txt-dosyasi aktarabilirsiniz.;Using the letter bar you can easily scroll through your contact list and view or edit a phone contact. The numbers you have registered here as contacts will be displayed with contact name and number on the LCD screen.<br><br>You can save your entire contact list as txt file onto your PC and upload a txt file into your EasyBox at any time. ;Using the letter bar you can easily scroll through your contact list and view or edit a phone contact.<br><br>You can save your entire contact list as txt file onto your PC and upload a txt file into your router at any time.;Usando la barra de letras puede desplazarse a través de su lista de contactos y verlos o editarlos <br> Puede guardar su lista de contactos como un archivo en su PC y cargar un archivo de texto en su router;Using the letter bar you can easily scroll through your contact list and view or edit a phone contact. The numbers you have registered here as contacts will be displayed with contact name and number on the LCD screen.<br><br>You can save your entire contact list as txt file onto your PC and upload a txt file into your EasyBox at any time. ;;Durch Anklicken des ersten Buchstabens in der Leiste links können Sie schneller Ihren Kontakt auswählen oder bearbeiten. Die hier eingetragenen Kontakte werden auf der LCD Anzeige der EasyBox mit Name und Telefonnummer dargestellt. <br><br>Sie können Ihre gesamte Kontaktliste als txt-Datei auf Ihrem PC sichern, sowie eine txt-Datei vom PC auf die EasyBox übertragen.;Using the letter bar you can easily scroll through your contact list and view or edit a phone contact. The numbers you have registered here as contacts will be displayed with contact name and number on the LCD screen.<br><br>You can save your entire contact list as txt file onto your PC and upload a txt file into your EasyBox at any time. ;Birinci harfi tiklayarak kisiyi daha hizli seçebilir veya düzenleyebilirsiniz. Burada kayitli olan kisiler EasyBox cihazinin ekraninda isim ve telefon numarasi bilgileri ile gösterilir. Kisilerin kayitli oldugu tüm listenizi txt-dosyasi olarak PC'nize kaydedebilir ve PC'den EasyBox cihazina bir txt-dosyasi aktarabilirsiniz.;Durch Anklicken des ersten Buchstabens in der Leiste links können Sie schneller Ihren Kontakt auswählen oder bearbeiten. Die hier eingetragenen Kontakte werden auf der LCD Anzeige der EasyBox mit Name und Telefonnummer dargestellt. <br><br>Sie können Ihre gesamte Kontaktliste als txt-Datei auf Ihrem PC sichern, sowie eine txt-Datei vom PC auf die EasyBox übertragen.;Using the letter bar you can easily scroll through your contact list and view or edit a phone contact. The numbers you have registered here as contacts will be displayed with contact name and number on the LCD screen.<br><br>You can save your entire contact list as txt file onto your PC and upload a txt file into your EasyBox at any time. ;Using the letter bar you can easily scroll through your contact list and view or edit a phone contact. The numbers you have registered here as contacts will be displayed with contact name and number on the LCD screen.<br><br>You can save your entire contact list as txt file onto your PC and upload a txt file into your EasyBox at any time. 
202003;Caller ID;Name;İsim;Caller ID;Caller ID;Caller ID;Caller ID;Numero di telefono;Name;Caller ID;İsim;Name;Caller ID;Caller ID
202004;Type;Anschluss;Bağlantı;Type;Type;Tipo;Type;Tipo;Anschluss;Type;Bağlantı;Anschluss;Type;Type
202005;Numbers;Nummern;Numaralar;Numbers;Numbers;Números;Numbers;Numeri;Nummern;Numbers;Numaralar;Nummern;Numbers;Numbers
202006;Edit Contact;Kontakte bearbeiten;Kişileri düzenle;Edit Contact;Edit Contact;Editar Contacto;Edit Contact;Modifica contatto;Kontakte bearbeiten;Edit Contact;Kişileri düzenle;Kontakte bearbeiten;Edit Contact;Edit Contact
202007;Contact Name;Name des Kontakts;Kişinin ismi;Contact Name;Contact Name;Nombre de contacto;Contact Name;Nome contatto;Name des Kontakts;Contact Name;Kişinin ismi;Name des Kontakts;Contact Name;Contact Name
202008;Phone Number;Rufnummer;Telefon numarası;Phone Number;Phone Number;Número de teléfono;Phone Number;Numero di telefono;Rufnummer;Phone Number;Telefon numarası;Rufnummer;Phone Number;Phone Number
202009;Number Type;Rufnummertyp;Telefon numarası tipi;Number Type;Number Type;Tipo Número;Number Type;Tipo di numero;Rufnummertyp;Number Type;Telefon numarası tipi;Rufnummertyp;Number Type;Number Type
202010;Are you sure you want to delete the contact %s, including all attached numbers, from your contact list?;Sind Sie sicher, dass Sie den Kontakt %s mit allen zugehörigen Rufnummern aus der Liste löschen wollen?;%s olarak kayıtlı kişiyi ait olan tüm telefon numaraları ile birlikte listeden silmek istediğinizden emin misiniz?;Are you sure you want to delete the contact %s, including all attached numbers, from your contact list?;Are you sure you want to delete the contact %s, including all attached numbers, from your contact list?;¿Está seguro que desea eliminar el contacto %s, incluyendo todos los números adjuntos, de la lista de contactos?;Are you sure you want to delete the contact %s, including all attached numbers, from your contact list?;Sei sicuro di voler eliminare il contatto %s, compresi tutti i suoi numeri, dai tuoi contatti?;Sind Sie sicher, dass Sie den Kontakt %s mit allen zugehörigen Rufnummern aus der Liste löschen wollen?;Are you sure you want to delete the contact %s, including all attached numbers, from your contact list?;%s olarak kayıtlı kişiyi ait olan tüm telefon numaraları ile birlikte listeden silmek istediğinizden emin misiniz?;Sind Sie sicher, dass Sie den Kontakt %s mit allen zugehörigen Rufnummern aus der Liste löschen wollen?;Are you sure you want to delete the contact %s, including all attached numbers, from your contact list?;Are you sure you want to delete the contact %s, including all attached numbers, from your contact list?
202011;Create New Contact;Neuen Kontakt erstellen;Yeni kişi oluştur;Create New Contact;Create New Contact;Crear nuevo contacto;Create New Contact;Crea nuovo contatto;Neuen Kontakt erstellen;Create New Contact;Yeni kişi oluştur;Neuen Kontakt erstellen;Create New Contact;Create New Contact
202012;No contacts to show.;Es liegen keine Kontaktdaten vor.;Kişiye ait herhangi bir bilgi mevcut değil.;No contacts to show.;No contacts to show.;No hay contactos para mostrar.;No contacts to show.;Nessun contatto.;Es liegen keine Kontaktdaten vor.;No contacts to show.;Kişiye ait herhangi bir bilgi mevcut değil.;Es liegen keine Kontaktdaten vor.;No contacts to show.;No contacts to show.
202013;Private - Landline;Privat - Festnetz;Özel – Sabit hat;Private - Landline;Private - Landline;Personal - Fijo;Private - Landline;Casa;Privat - Festnetz;Private - Landline;Özel – Sabit hat;Privat - Festnetz;Private - Landline;Private - Landline
202014;Private - Mobile;Privat - Mobil;Özel – Mobil hat;Private - Mobile;Private - Mobile;Personal - Móvil;Private - Mobile;Cellulare;Privat - Mobil;Private - Mobile;Özel – Mobil hat;Privat - Mobil;Private - Mobile;Private - Mobile
202015;Work - Landline;Dienstl. - Festnetz;İş – Sabit hat;Work - Landline;Work - Landline;Trabajo - Fijo;Work - Landline;Ufficio;Dienstl. - Festnetz;Work - Landline;İş – Sabit hat;Dienstl. - Festnetz;Work - Landline;Work - Landline
202016;Work - Mobile;Dienstl. - Mobil;İş – Mobil hat;Work - Mobile;Work - Mobile;Trabajo - Móvil;Work - Mobile;Ufficio - Cellulare;Dienstl. - Mobil;Work - Mobile;İş – Mobil hat;Dienstl. - Mobil;Work - Mobile;Work - Mobile
202017;Other;Sonstige;Diğer;Other;Other;Otro;Other;Altro;Sonstige;Other;Diğer;Sonstige;Other;Other
202018;Add Contact;Kontakt hizufügen;Rehbere Ekle;Add Contact;Add Contact;Añadir contacto;Add Contact;Aggiungi contatto;Kontakt hizufügen;Add Contact;Rehbere Ekle;Kontakt hizufügen;Add Contact;Add Contact
202019;phone number;Rufnummer;Telefon numarası;phone number;phone number;número de teléfono;phone number;numero di telefono;Rufnummer;phone number;Telefon numarası;Rufnummer;phone number;phone number
202020;list of phone numbers;Liste von Rufnummern;Telefon numara listesi;list of phone numbers;list of phone numbers;lista de números telefónicos;list of phone numbers;lista di numeri di telefono;Liste von Rufnummern;list of phone numbers;Telefon numara listesi;Liste von Rufnummern;list of phone numbers;list of phone numbers
202021;Loading failed;Laden fehlgeschlagen;Yükleme başarısız oldu;Loading failed;Loading failed;Error al cargar;Loading failed;Caricamento fallito;Laden fehlgeschlagen;Loading failed;Yükleme başarısız oldu;Laden fehlgeschlagen;Loading failed;Loading failed
202022;Loading of contacts from the file was not successful;Laden von Kontakten aus der Datei ist fehlgeschlagen;Dosyadan rehbere yüklemek başarılı değildi;Loading of contacts from the file was not successful;Loading of contacts from the file was not successful;La carga de contactos desde el archivo no se ha realizado correctamente;Loading of contacts from the file was not successful;Non è stato possibile caricare i contatti dal file;Laden von Kontakten aus der Datei ist fehlgeschlagen;Loading of contacts from the file was not successful;Dosyadan rehbere yüklemek başarılı değildi;Laden von Kontakten aus der Datei ist fehlgeschlagen;Loading of contacts from the file was not successful;Loading of contacts from the file was not successful
202023;NA;NA;NA;No numbers set.;No numbers set.;No hay números fijados.;No numbers set.;Nessun numero impostato.;NA;NA;NA;NA;NA;NA
202024;Contact with this name already exists;Ein Kontakt mit diesem Namen existiert bereits;Bu isim rehberde bulunmaktadir.;Contact with this name already exists;Contact with this name already exists;El contacto con este nombre ya existe;Contact with this name already exists;Esiste già un contatto con questo nome;Ein Kontakt mit diesem Namen existiert bereits;Contact with this name already exists;Bu isim rehberde bulunmaktadir.;Ein Kontakt mit diesem Namen existiert bereits;Contact with this name already exists;Contact with this name already exists
202025;The given phone number is invalid;Die angegebene Rufnummer ist ungültig;Telefon numara yanlıştır;The given phone number is invalid;The given phone number is invalid;El número de teléfono dado no es válido;The given phone number is invalid;Il numero di telefono inserito non è valido;Die angegebene Rufnummer ist ungültig;The given phone number is invalid;Telefon numara yanlıştır;Die angegebene Rufnummer ist ungültig;The given phone number is invalid;The given phone number is invalid
203001;Voicemail;Anrufbeantworter;Telesekreter;Voicemail;Voicemail;Voicemail;Voicemail;Segreteria telefonica;Anrufbeantworter;Voicemail;Telesekreter;Anrufbeantworter;Voicemail;Voicemail
203002;NA;NA;NA;not used;not used;no utilizado;not used;non utilizzato;NA;NA;NA;NA;NA;NA
