ID;en-de;de-de;tr-de;en-nz;en-es;es-es;en-it;it-it;..;..;..;..;..;..
801015;Activation in progress by another user, please wait ...;Die Aktivierung wird bereits durch einen anderen Benutzer durchgeführt, bitte warten...;Aktivasyon başka bir kullanıcı tarafından gerçekleştiriliyor, lütfen bekleyin ...;Activation in progress by another user, please wait ...;Activation in progress by another user, please wait ...;Activación en curso por otro usuario, por favor espere ...;We recommend you complete the set up in order to enjoy our services for you. ;;Die Aktivierung wird bereits durch einen anderen Benutzer durchgeführt, bitte warten...;Activation in progress by another user, please wait ...;Aktivasyon başka bir kullanıcı tarafından gerçekleştiriliyor, lütfen bekleyin ...;Die Aktivierung wird bereits durch einen anderen Benutzer durchgeführt, bitte warten...;Activation in progress by another user, please wait ...;Activation in progress by another user, please wait ...
802001;Please insert your Vodafone LTE SIM card into the EasyBox.;Bitte stecken Sie Ihre Vodafone LTE SIM-Karte in Ihre EasyBox ;Lütfen Vodafone 4G SIM kartınızı EasyBox cihazına yerleştiriniz. ;Please insert your Vodafone LTE SIM card into the EasyBox.;Please insert your Vodafone LTE SIM card into the router.;Por favor inserte su tarjeta SIM en el router;Start;;Bitte stecken Sie Ihre Vodafone LTE SIM-Karte in Ihre EasyBox ;Please insert your Vodafone LTE SIM card into the EasyBox.;Lütfen Vodafone 4G SIM kartınızı EasyBox cihazına yerleştiriniz. ;Bitte stecken Sie Ihre Vodafone LTE SIM-Karte in Ihre EasyBox ;Please insert your Vodafone LTE SIM card into the EasyBox.;Please insert your Vodafone LTE SIM card into the PlusBox.
802002;Wrong LTE SIM - An incorrect SIM was entered.;Falsche LTE SIM - Eine falsche SIM wurde eingesteckt.;Yanlış LTE SIM – Yerleştirilen SIM kart yanlıştır.;Wrong LTE SIM - An incorrect SIM was entered.;Wrong LTE SIM - An incorrect SIM was entered.;Se ha insertado una tarjeta SIM incorrecta;Skip;;Falsche LTE SIM - Eine falsche SIM wurde eingesteckt.;Wrong LTE SIM - An incorrect SIM was entered.;Yanlış LTE SIM – Yerleştirilen SIM kart yanlıştır.;Falsche LTE SIM - Eine falsche SIM wurde eingesteckt.;Wrong LTE SIM - An incorrect SIM was entered.;Wrong LTE SIM - An incorrect SIM was entered.
802003;Please enter the information provided in your SIM card letter. ;Bitte geben Sie jetzt die Daten Ihrer LTE SIM-Karte ein;Lütfen şimdi 4G SIM kartınıza ait bilgileri giriniz.;Please enter the information provided in your SIM card letter. ;Please enter the information provided in your SIM card letter.;Por favor, introduzca la información que figura en la carta que acompaña a su tarjeta SIM;Please enter your email address and MSISDN number.;;Bitte geben Sie jetzt die Daten Ihrer LTE SIM-Karte ein;Please enter the information provided in your SIM card letter. ;Lütfen şimdi 4G SIM kartınıza ait bilgileri giriniz.;Bitte geben Sie jetzt die Daten Ihrer LTE SIM-Karte ein;Please enter the information provided in your SIM card letter. ;Please enter the information provided in your SIM card letter. 
802004;LTE PIN;LTE PIN;4G PIN kodu (Kalan deneme sayısı: 3 %s);LTE PIN;LTE PIN;PIN;Email Address;;LTE PIN;LTE PIN;4G PIN kodu (Kalan deneme sayısı: 3 %s);LTE PIN;LTE PIN;LTE PIN
802005;Checking LTE PIN;PIN wird geprüft;PIN kodu kontrol ediliyor;Checking LTE PIN;Checking LTE PIN;Comprobando PIN;MSISDN;;PIN wird geprüft;Checking LTE PIN;PIN kodu kontrol ediliyor;PIN wird geprüft;Checking LTE PIN;Checking LTE PIN
802006;Your EasyBox is now contacting the Vodafone network.;Ihre EasyBox verbindet sich nun mit dem Vodafone Netzwerk;EasyBox cihazınız şimdi Vodafone ağına bağlanıyor.;Your EasyBox is now contacting the Vodafone network.;Your router is now contacting the Vodafone network.;Su router está contactando con la red Vodafone;Continue;;Ihre EasyBox verbindet sich nun mit dem Vodafone Netzwerk;Your EasyBox is now contacting the Vodafone network.;EasyBox cihazınız şimdi Vodafone ağına bağlanıyor.;Ihre EasyBox verbindet sich nun mit dem Vodafone Netzwerk;Your EasyBox is now contacting the Vodafone network.;Your PlusBox is now contacting the Vodafone network.
802007;LTE PIN Check Successful;LTE PIN korrekt;4G PIN kodu doğru;LTE PIN Check Successful;LTE PIN Check Successful;Prueba de PIN exitosa;Yes;;LTE PIN korrekt;LTE PIN Check Successful;4G PIN kodu doğru;LTE PIN korrekt;LTE PIN Check Successful;LTE PIN Check Successful
802008;Your EasyBox successfully contacted the Vodafone network.;Ihre EasyBox ist nun erfolgreich mit dem Vodafone Netzwerk verbunden;EasyBox cihazınız Vodafone ağına başarıyla bağlandı.;Your EasyBox successfully contacted the Vodafone network.;Your router successfully contacted the Vodafone network.;Su router ha contactado con éxito con la red Vodafone;No;;Ihre EasyBox ist nun erfolgreich mit dem Vodafone Netzwerk verbunden;Your EasyBox successfully contacted the Vodafone network.;EasyBox cihazınız Vodafone ağına başarıyla bağlandı.;Ihre EasyBox ist nun erfolgreich mit dem Vodafone Netzwerk verbunden;Your EasyBox successfully contacted the Vodafone network.;Your PlusBox successfully contacted the Vodafone network.
802009;We now suggest you take a moment to try positioning your EasyBox in various locations, to gain the best signal strength possible.;Wir empfehlen nun, den optimalen Standort für Ihre EasyBox zu suchen. Hierbei hilft Ihnen die Anzeige der Signalstärke;Şimdi EasyBox cihazınız için en uygun yeri aramanızı öneriyoruz. Bu işlemde sinyal gücü göstergesi size yardımcı olacaktır.;We now suggest you take a moment to try positioning your EasyBox in various locations, to gain the best signal strength possible.;We now suggest you take a moment to try positioning your router in various locations, to gain the best signal strength possible.;Le sugerimos que busque colocar su router en varios lugares, buscando la señal más fuerte.;Restart;;Wir empfehlen nun, den optimalen Standort für Ihre EasyBox zu suchen. Hierbei hilft Ihnen die Anzeige der Signalstärke;We now suggest you take a moment to try positioning your EasyBox in various locations, to gain the best signal strength possible.;Şimdi EasyBox cihazınız için en uygun yeri aramanızı öneriyoruz. Bu işlemde sinyal gücü göstergesi size yardımcı olacaktır.;Wir empfehlen nun, den optimalen Standort für Ihre EasyBox zu suchen. Hierbei hilft Ihnen die Anzeige der Signalstärke;We now suggest you take a moment to try positioning your EasyBox in various locations, to gain the best signal strength possible.;We now suggest you take a moment to try positioning your PlusBox in various locations, to gain the best signal strength possible.
802010;Current Signal Strength;Aktuelle Signalstärke;Güncel sinyal gücü;Current Signal Strength;Current Signal Strength;Intensidad de la señal actual;NA;NA;Aktuelle Signalstärke;Current Signal Strength;Güncel sinyal gücü;Aktuelle Signalstärke;Current Signal Strength;Current Signal Strength
802011;Weak Signal;Schwaches Signal;Zayıf sinyal;Weak Signal;Weak Signal;Señal débil;NA;NA;Schwaches Signal;Weak Signal;Zayıf sinyal;Schwaches Signal;Weak Signal;Weak Signal
802012;Please try a new location.;Bitte versuchen Sie einen anderen Standort;Lütfen başka bir yeri deneyiniz;Please try a new location.;Please try a new location.;Por favor, intente una nueva ubicación.;NA;NA;Bitte versuchen Sie einen anderen Standort;Please try a new location.;Lütfen başka bir yeri deneyiniz;Bitte versuchen Sie einen anderen Standort;Please try a new location.;Please try a new location.
802013;LTE SuperPIN;LTE Super PIN;4G Super-PIN kodu;LTE SuperPIN;LTE SuperPIN;LTE SuperPIN;NA;NA;LTE Super PIN;LTE SuperPIN;4G Super-PIN kodu;LTE Super PIN;LTE SuperPIN;LTE SuperPIN
802014;Signal Strength;Signalstärke;Signal gücü;Signal Strength;Signal Strength;Potencia de la señal;NA;NA;Signalstärke;Signal Strength;Signal gücü;Signalstärke;Signal Strength;Signal Strength
802015;Activation in Progress;Aktivierung wird durchgeführt;Etkinleştirme gerçekleştiriliyor;Activation in Progress;Activation in Progress;Activación en curso;NA;NA;Aktivierung wird durchgeführt;Activation in Progress;Etkinleştirme gerçekleştiriliyor;Aktivierung wird durchgeführt;Activation in Progress;Activation in Progress
802016;Your EasyBox is now connecting to the Vodafone network.;Ihre EasyBox verbindet sich nun mit dem Vodafone Netzwerk;EasyBox cihazınız şimdi Vodafone ağına bağlanıyor.;Your EasyBox is now connecting to the Vodafone network.;Your router is now connecting to the Vodafone network.;Su router está contactando con la red Vodafone;NA;NA;Ihre EasyBox verbindet sich nun mit dem Vodafone Netzwerk;Your EasyBox is now connecting to the Vodafone network.;EasyBox cihazınız şimdi Vodafone ağına bağlanıyor.;Ihre EasyBox verbindet sich nun mit dem Vodafone Netzwerk;Your EasyBox is now connecting to the Vodafone network.;Your PlusBox is now connecting to the Vodafone network.
802017;%s attempt(s) left;%s verbleibende Versuche;%s Kalan deneme sayısı;%s attempt(s) left;%s attempt(s) left;%s intentos restantes;NA;NA;%s verbleibende Versuche;%s attempt(s) left;%s Kalan deneme sayısı;%s verbleibende Versuche;%s attempt(s) left;%s attempt(s) left
802018;Wrong LTE PIN;Falsche LTE PIN;4G PIN kodu yanlış;Wrong LTE PIN;Wrong LTE PIN;PIN incorrecto;NA;NA;Falsche LTE PIN;Wrong LTE PIN;4G PIN kodu yanlış;Falsche LTE PIN;Wrong LTE PIN;Wrong LTE PIN
802019;An incorrect PIN was entered. Please enter the correct 4 digit PIN.;Eine falsche PIN wurde eingegeben. Bitte geben Sie die richtige 4-stellige PIN ein.;Yanlış bir PIN kodu girilmiştir. Lütfen 4 haneli doğru PNI kodunu giriniz.;An incorrect PIN was entered. Please enter the correct 4 digit PIN.;An incorrect PIN was entered. Please enter the correct 4 digit PIN.;El  PIN introducido es incorrecto. Por favor introduzca el PIN correcto de 4 dígitos.;NA;NA;Eine falsche PIN wurde eingegeben. Bitte geben Sie die richtige 4-stellige PIN ein.;An incorrect PIN was entered. Please enter the correct 4 digit PIN.;Yanlış bir PIN kodu girilmiştir. Lütfen 4 haneli doğru PNI kodunu giriniz.;Eine falsche PIN wurde eingegeben. Bitte geben Sie die richtige 4-stellige PIN ein.;An incorrect PIN was entered. Please enter the correct 4 digit PIN.;An incorrect PIN was entered. Please enter the correct 4 digit PIN.
802020;LTE PIN is locked;Die LTE PIN ist gesperrt.;4G PIN kodu bloke edilmiştir.;LTE PIN is locked;LTE PIN is locked;El PIN está bloqueado;NA;NA;Die LTE PIN ist gesperrt.;LTE PIN is locked;4G PIN kodu bloke edilmiştir.;Die LTE PIN ist gesperrt.;LTE PIN is locked;LTE PIN is locked
802021;Please enter your SuperPIN to unlock the PIN.;Bitte geben Sie die SuperPIN ein um die PIN zu entsperren.;;Please enter your SuperPIN to unlock the PIN.;Please enter the PUK to unlock the PIN.;Introduzca el PUK para desloquear el PIN;NA;NA;Bitte geben Sie die SuperPIN ein um die PIN zu entsperren.;Please enter your SuperPIN to unlock the PIN.;Bloke edilen PIN kodunu açmak için lütfen SuperPIN kodunu giriniz.;Bitte geben Sie die SuperPIN ein um die PIN zu entsperren.;Please enter your SuperPIN to unlock the PIN.;Please enter your SuperPIN to unlock the PIN.
802022;New LTE PIN;Neue LTE PIN;Yeni 4G PIN kodu;New LTE PIN;New LTE PIN;Nuevo PIN;NA;NA;Neue LTE PIN;New LTE PIN;Yeni 4G PIN kodu;Neue LTE PIN;New LTE PIN;New LTE PIN
802023;Confirm LTE PIN;LTE PIN bestätigen;4G PIN kodunu onayla;Confirm LTE PIN;Confirm LTE PIN;Confirmar PIN;NA;NA;LTE PIN bestätigen;Confirm LTE PIN;4G PIN kodunu onayla;LTE PIN bestätigen;Confirm LTE PIN;Confirm LTE PIN
802024;LTE SuperPIN is not correct.;LTE SuperPIN ist falsch.;4G Super-PIN kodu yanlış.;LTE SuperPIN is not correct.;LTE SuperPIN is not correct.;El PUK no es correcto;NA;NA;LTE SuperPIN ist falsch.;LTE SuperPIN is not correct.;4G Super-PIN kodu yanlış.;LTE SuperPIN ist falsch.;LTE SuperPIN is not correct.;LTE SuperPIN is not correct.
802025;Please enter the correct LTE SuperPIN.;Bitte geben Sie die richtige SuperPIN ein.;Lütfen doğru Super-PIN kodunu giriniz.;Please enter the correct LTE SuperPIN.;Please enter the correct LTE SuperPIN.;Por favor, introduzca el PUK correcto;NA;NA;Bitte geben Sie die richtige SuperPIN ein.;Please enter the correct LTE SuperPIN.;Lütfen doğru Super-PIN kodunu giriniz.;Bitte geben Sie die richtige SuperPIN ein.;Please enter the correct LTE SuperPIN.;Please enter the correct LTE SuperPIN.
802026;Please enter a new LTE PIN.;Bitte geben Sie eine neue LTE PIN ein.;Lütfen yeni bir 4G PIN kodu giriniz.;Please enter a new LTE PIN.;Please enter a new LTE PIN.;Por favor, introduzca un nuevo PIN;NA;NA;Bitte geben Sie eine neue LTE PIN ein.;Please enter a new LTE PIN.;Lütfen yeni bir 4G PIN kodu giriniz.;Bitte geben Sie eine neue LTE PIN ein.;Please enter a new LTE PIN.;Please enter a new LTE PIN.
802027;The LTE PINs did not match.;Die LTE PINs stimmen nicht überein.;Girilen 4G PIN kodlar aynı değil.;The LTE PINs did not match.;The LTE PINs did not match.;Los PIN no coinciden.;NA;NA;Die LTE PINs stimmen nicht überein.;The LTE PINs did not match.;Girilen 4G PIN kodlar aynı değil.;Die LTE PINs stimmen nicht überein.;The LTE PINs did not match.;The LTE PINs did not match.
802028;Please move your EasyBox to a different location for a better signal strength.;Bitte stellen Sie Ihre EasyBox an einen anderen Ort um ein besseres Signal zu erhalten.;Daha iyi bir sinyal alabilmek için lütfen EasyBox cihazınızı başka bir yere koyunuz.;Please move your EasyBox to a different location for a better signal strength.;Please move your router to a different location for a better signal strength.;Por favor, coloque su router en otro lugar para conseguir mejor calidad de señal.;NA;NA;Bitte stellen Sie Ihre EasyBox an einen anderen Ort um ein besseres Signal zu erhalten.;Please move your EasyBox to a different location for a better signal strength.;Daha iyi bir sinyal alabilmek için lütfen EasyBox cihazınızı başka bir yere koyunuz.;Bitte stellen Sie Ihre EasyBox an einen anderen Ort um ein besseres Signal zu erhalten.;Please move your EasyBox to a different location for a better signal strength.;Please move your PlusBox to a different location for a better signal strength.
802029;Your SIM card has been locked due to too many attempts to enter the correct PIN. Please contact Vodafone Customer Support:;Ihre SIM Karte wurde aufgrund von zu vielen Falscheingaben gesperrt. Bitte kontaktieren Sie den Vodafone Kundensupport.;SIM kartınız çok fazla yanlış kod girildiği için bloke edilmiştir. Lütfen Vodafone Müşteri Hizmetleri ile irtibata geçiniz.;Your SIM card has been locked due to too many attempts to enter the correct PIN. Please contact Vodafone Customer Support:;Your SIM card has been locked due to too many attempts to enter the correct PIN. Please contact Vodafone Customer Support:;La tarjeta SIM se ha bloqueado debido a demasiados errores al introducir el PIN. Por favor, póngase en contacto con Vodafone:;NA;NA;Ihre SIM Karte wurde aufgrund von zu vielen Falscheingaben gesperrt. Bitte kontaktieren Sie den Vodafone Kundensupport.;Your SIM card has been locked due to too many attempts to enter the correct PIN. Please contact Vodafone Customer Support:;SIM kartınız çok fazla yanlış kod girildiği için bloke edilmiştir. Lütfen Vodafone Müşteri Hizmetleri ile irtibata geçiniz.;Ihre SIM Karte wurde aufgrund von zu vielen Falscheingaben gesperrt. Bitte kontaktieren Sie den Vodafone Kundensupport.;Your SIM card has been locked due to too many attempts to enter the correct PIN. Please contact Vodafone Customer Support:;Your SIM card has been locked due to too many attempts to enter the correct PIN. Please contact Vodafone Customer Support:
802030;Phone;Telefon;Telefon;Phone;Phone;Teléfono;NA;NA;Telefon;Phone;Telefon;Telefon;Phone;Phone
802031;Web;Internet;Internet;Web;Web;Web;NA;NA;Internet;Web;Internet;Internet;Web;Web
802032;The LTE activation of your EasyBox is in progress. Please do not turn off the device.;Die EasyBox wird gerade aktiviert. Bitte schalten Sie das Gerät nicht aus.;EasyBox cihazı şu anda Etkinleştiriliyor. Lütfen cihazı kapatmayınız.;The LTE activation of your EasyBox is in progress. Please do not turn off the device.;The LTE activation of your router is in progress. Please do not turn off the device.;La activación de su router está en curso. Por favor, no apague el dispositivo.;NA;NA;Die EasyBox wird gerade aktiviert. Bitte schalten Sie das Gerät nicht aus.;The LTE activation of your EasyBox is in progress. Please do not turn off the device.;EasyBox cihazı şu anda Etkinleştiriliyor. Lütfen cihazı kapatmayınız.;Die EasyBox wird gerade aktiviert. Bitte schalten Sie das Gerät nicht aus.;The LTE activation of your EasyBox is in progress. Please do not turn off the device.;The LTE activation of your PlusBox is in progress. Please do not turn off the device.
802033;The LTE activation of your EasyBox was successful.<br />Please continue with the next step.;Die LTE Aktivierung war erfolgreich.<br />Bitte fahren Sie mit dem nächsten Schritt fort.;4G etkinleştirme işlemi başarıyla gerçekleştirildi.<br />Lütfen bir sonraki adım ile devam ediniz.;The LTE activation of your EasyBox was successful.<br />Please continue with the next step.;The LTE activation of your router was successful.<br />Please continue with the next step.;La activación de su router tuvo éxito. <br /> Por favor, continúe con el siguiente paso.;NA;NA;Die LTE Aktivierung war erfolgreich.<br />Bitte fahren Sie mit dem nächsten Schritt fort.;The LTE activation of your EasyBox was successful.<br />Please continue with the next step.;4G etkinleştirme işlemi başarıyla gerçekleştirildi.<br />Lütfen bir sonraki adım ile devam ediniz.;Die LTE Aktivierung war erfolgreich.<br />Bitte fahren Sie mit dem nächsten Schritt fort.;The LTE activation of your EasyBox was successful.<br />Please continue with the next step.;The LTE activation of your PlusBox was successful.<br />Please continue with the next step.
802034;The LTE activation of your EasyBox was not successful.<br />Please continue with the next step and run the activation later again.;Die LTE Aktivierung war nicht erfolgreich.<br />Bitte fahren Sie mit dem nächsten Schritt fort und führen Sie die Aktivierung später erneut aus;4G etkinleştirme işlemi başarısızdı.<br />Lütfen bir sonraki adım ile devam ediniz ve etkinleştirme işlemini daha sonra tekrar deneyiniz.;The LTE activation of your EasyBox was not successful.<br />Please continue with the next step and run the activation later again.;The LTE activation of your router was not successful.<br />Please continue with the next step and run the activation later again.;La activación de su router no tuvo éxito. <br /> Por favor, continúe con el siguiente paso y ejecute la activación de nuevo más tarde.;NA;NA;Die LTE Aktivierung war nicht erfolgreich.<br />Bitte fahren Sie mit dem nächsten Schritt fort und führen Sie die Aktivierung später erneut aus;The LTE activation of your EasyBox was not successful.<br />Please continue with the next step and run the activation later again.;4G etkinleştirme işlemi başarısızdı.<br />Lütfen bir sonraki adım ile devam ediniz ve etkinleştirme işlemini daha sonra tekrar deneyiniz.;Die LTE Aktivierung war nicht erfolgreich.<br />Bitte fahren Sie mit dem nächsten Schritt fort und führen Sie die Aktivierung später erneut aus;The LTE activation of your EasyBox was not successful.<br />Please continue with the next step and run the activation later again.;The LTE activation of your PlusBox was not successful.<br />Please continue with the next step and run the activation later again.
802035;You have already set your Password. Please continue to finish the activation.;Sie haben bereits Ihr Kennwort gesetzt. Bitte fahren Sie mit dem nächsten Schritt fort um die Aktivierung abzuschließen.;Şifrenizi zaten belirlediniz. Etkinleştirme işlemini tamamlamak için bir sonraki adım ile devam ediniz.;You have already set your Password. Please continue to finish the activation.;You have already set your Password. Please continue to finish the activation.;Ya ha configurado su contraseña. Por favor, continúe hasta el final de la activación.;NA;NA;Sie haben bereits Ihr Kennwort gesetzt. Bitte fahren Sie mit dem nächsten Schritt fort um die Aktivierung abzuschließen.;You have already set your Password. Please continue to finish the activation.;Şifrenizi zaten belirlediniz. Etkinleştirme işlemini tamamlamak için bir sonraki adım ile devam ediniz.;Sie haben bereits Ihr Kennwort gesetzt. Bitte fahren Sie mit dem nächsten Schritt fort um die Aktivierung abzuschließen.;You have already set your Password. Please continue to finish the activation.;You have already set your Password. Please continue to finish the activation.
802036;The passwords you entered do not match.;Die eingegebenen Passwörter stimmen nicht überein.;Girmiş olduğunuz şifreler aynı değil.;The passwords you entered do not match.;The passwords you entered do not match.;Las contraseñas introducidas no coinciden.;NA;NA;Die eingegebenen Passwörter stimmen nicht überein.;The passwords you entered do not match.;Girmiş olduğunuz şifreler aynı değil.;Die eingegebenen Passwörter stimmen nicht überein.;The passwords you entered do not match.;The passwords you entered do not match.
802037;Your signal strength is perfect.;Die Signalstärke ist ausgezeichnet;;Your signal strength is perfect.;Your signal strength is perfect.;La intensidad de la señal es perfecta.;NA;NA;Die Signalstärke ist ausgezeichnet;Your signal strength is perfect.;Sinyal gücü mükemmel.;Die Signalstärke ist ausgezeichnet;Your signal strength is perfect.;Your signal strength is perfect.
802038;The SIM you have inserted is not supported by Vodafone.<br />Please insert a Vodafone SIM.;Die eingesteckte SIM-Karte wird nicht von Vodafone unterstützt. Bitte stecken Sie eine Vodafone LTE SIM-Karte;Yerleştirilmiş olan SIM kartı Vodafone tarafından desteklenmiyor. Lütfen bir Vodafone 4G SIM kartı yerleştiriniz.;The SIM you have inserted is not supported by Vodafone.<br />Please insert a Vodafone SIM.;The SIM you have inserted is not supported by Vodafone.<br />Please insert a Vodafone SIM.;La SIM insertada no es compatible con Vodafone. <br /> Por favor inserte una SIM de Vodafone.;NA;NA;Die eingesteckte SIM-Karte wird nicht von Vodafone unterstützt. Bitte stecken Sie eine Vodafone LTE SIM-Karte;The SIM you have inserted is not supported by Vodafone.<br />Please insert a Vodafone SIM.;Yerleştirilmiş olan SIM kartı Vodafone tarafından desteklenmiyor. Lütfen bir Vodafone 4G SIM kartı yerleştiriniz.;Die eingesteckte SIM-Karte wird nicht von Vodafone unterstützt. Bitte stecken Sie eine Vodafone LTE SIM-Karte;The SIM you have inserted is not supported by Vodafone.<br />Please insert a Vodafone SIM.;The SIM you have inserted is not supported by Vodafone.<br />Please insert a Vodafone SIM.
802039;NA;NA;NA;NA;NA;no utilizado;NA;NA;NA;NA;NA;NA;NA;Please enter your PlusBox username and password to get access to the router.
802040;Please enter the Modem Installation Code.;Bitte geben Sie den Modem Installation Code ein.;Lütfen Modeminstallation-Kodu kaydedin;Please enter the Modem Installation Code.;Please enter the Modem Installation Code.;Por favor introduzca el código de instalación del módem.;NA;NA;Bitte geben Sie den Modem-Installationscode (MIC) von Ihrem Anschalte-Brief ein.;Please enter the Modem Installation Code (MIC) which you can find on your welcome letter.;Lütfen Modeminstallation-Kodu kaydedin;Bitte geben Sie den Modem-Installationscode (MIC) von Ihrem Anschalte-Brief ein.;Please enter the Modem Installation Code (MIC) which you can find on your welcome letter.;Please enter the Modem Installation Code (MIC) which you can find on your welcome letter.
802041;MIC;MIC;MIC;MIC;MIC;MIC;NA;NA;MIC;MIC;MIC;MIC;MIC;MIC
802042;Please enter the PIN of the UMTS-SIM-Card.;Bitte PIN der UMTS-SIM-Karte eingeben.;Lütfen 4G SIM kartının PIN kodunu kullanın.;Please enter the PIN of the UMTS-SIM-Card.;Please enter the PIN of the UMTS-SIM-Card.;Por favor introduzca el PIN de la SIM;NA;NA;Bitte PIN der UMTS-SIM-Karte eingeben.;Please enter the PIN of the UMTS-SIM-Card.;Lütfen 4G SIM kartının PIN kodunu kullanın.;Bitte PIN der UMTS-SIM-Karte eingeben.;Please enter the PIN of the UMTS-SIM-Card.;Please enter the PIN of the UMTS-SIM-Card.
802043;PIN;PIN;PIN kodu;PIN;PIN;PIN;NA;NA;PIN;PIN;PIN kodu;PIN;PIN;PIN
802044;SIM Card is locked, please enter the SuperPIN and the new PIN.;SIM-Karte gesperrt, bitte SuperPIN und neue PIN eingeben.;SIM kartı bloke edilmiştir, lütfen SuperPIN kodunu ve yeni PIN kodunu giriniz.;SIM Card is locked, please enter the SuperPIN and the new PIN.;SIM Card is locked, please enter the SuperPIN and the new PIN.;Tarjeta SIM bloqueada, introduzca el PUK y el nuevo PIN;NA;NA;SIM-Karte gesperrt, bitte SuperPIN und neue PIN eingeben.;SIM Card is locked, please enter the SuperPIN and the new PIN.;SIM kartı bloke edilmiştir, lütfen SuperPIN kodunu ve yeni PIN kodunu giriniz.;SIM-Karte gesperrt, bitte SuperPIN und neue PIN eingeben.;SIM Card is locked, please enter the SuperPIN and the new PIN.;SIM Card is locked, please enter the SuperPIN and the new PIN.
